prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	461	175	237	0.66	0.72	0.689
2	ChimPipe	3	307	52	391	0.44	0.86	0.582
3	ARRIBA_hc	3	432	398	266	0.62	0.52	0.566
4	TrinityFusion-C	2	317	99	381	0.45	0.76	0.565
5	TrinityFusion-UC	2	300	102	398	0.43	0.75	0.547
6	ARRIBA	4	458	566	240	0.66	0.45	0.535
7	STARSEQR	2	528	797	170	0.76	0.4	0.524
8	SOAP-fuse	6	262	89	436	0.38	0.75	0.504
9	MapSplice	3	327	321	371	0.47	0.5	0.485
10	FUSIONCATCHER_v1.10_June192019	7	350	399	348	0.5	0.47	0.485
11	InFusion	5	359	419	339	0.51	0.46	0.484
12	TrinityFusion-D	2	232	51	466	0.33	0.82	0.471
13	TopHat-Fusion	6	346	483	352	0.5	0.42	0.457
14	JAFFA-Direct	3	430	827	268	0.62	0.34	0.439
15	STARCHIP_csm10_pGm2_May012019	4	262	280	436	0.38	0.48	0.424
16	JAFFA-Assembly	3	297	423	401	0.43	0.41	0.42
17	PRADA	3	193	47	505	0.28	0.8	0.415
18	PIZZLY	4	303	692	395	0.43	0.3	0.353
19	PIZZLY	5	262	542	436	0.38	0.33	0.353
20	JAFFA-Hybrid	3	433	2025	265	0.62	0.18	0.279
21	ChimeraScan	8	186	663	512	0.27	0.22	0.242
22	deFuse	14	286	1536	412	0.41	0.16	0.23
23	FusionHunter	4	97	62	601	0.14	0.61	0.228
24	FusionHunter	5	96	60	602	0.14	0.62	0.228
25	nFuse	13	277	1627	421	0.4	0.15	0.218
26	EricScript	19	181	1897	517	0.26	0.09	0.134
