ARRIBA	0.78
PIZZLY	0.74
STARSEQR	0.73
STAR_FUSION_v1.5	0.73
nFuse	0.70
ChimPipe	0.69
ChimeraScan	0.68
InFusion	0.68
FUSIONCATCHER_v1.10_June192019	0.67
SOAP-fuse	0.67
deFuse	0.67
PRADA	0.66
ARRIBA_hc	0.64
MapSplice	0.62
STARCHIP_csm10_pGm2_May012019	0.61
TopHat-Fusion	0.61
EricScript	0.56
FusionHunter	0.56
TrinityFusion-C	0.54
TrinityFusion-UC	0.51
JAFFA-Assembly	0.50
TrinityFusion-D	0.36
ARRIBA	0.76
STARSEQR	0.76
ChimPipe	0.74
InFusion	0.73
STAR_FUSION_v1.5	0.73
PIZZLY	0.72
nFuse	0.71
ChimeraScan	0.70
SOAP-fuse	0.68
deFuse	0.68
FUSIONCATCHER_v1.10_June192019	0.67
PRADA	0.67
ARRIBA_hc	0.63
MapSplice	0.63
TopHat-Fusion	0.61
FusionHunter	0.60
STARCHIP_csm10_pGm2_May012019	0.60
EricScript	0.59
TrinityFusion-C	0.54
TrinityFusion-UC	0.54
JAFFA-Assembly	0.46
TrinityFusion-D	0.35
ARRIBA	0.79
STARSEQR	0.78
STAR_FUSION_v1.5	0.75
PIZZLY	0.72
ChimPipe	0.70
InFusion	0.70
SOAP-fuse	0.69
FUSIONCATCHER_v1.10_June192019	0.67
nFuse	0.65
ChimeraScan	0.64
PRADA	0.64
ARRIBA_hc	0.63
MapSplice	0.63
TopHat-Fusion	0.63
deFuse	0.62
STARCHIP_csm10_pGm2_May012019	0.61
EricScript	0.58
TrinityFusion-C	0.56
TrinityFusion-UC	0.56
FusionHunter	0.55
JAFFA-Assembly	0.51
TrinityFusion-D	0.34
ARRIBA	0.80
STARSEQR	0.75
PIZZLY	0.70
STAR_FUSION_v1.5	0.70
ChimPipe	0.69
nFuse	0.69
PRADA	0.68
InFusion	0.67
ChimeraScan	0.66
deFuse	0.66
ARRIBA_hc	0.65
FUSIONCATCHER_v1.10_June192019	0.64
SOAP-fuse	0.64
MapSplice	0.63
TopHat-Fusion	0.62
STARCHIP_csm10_pGm2_May012019	0.60
EricScript	0.57
FusionHunter	0.53
TrinityFusion-C	0.52
TrinityFusion-UC	0.52
JAFFA-Assembly	0.44
TrinityFusion-D	0.33
STARSEQR	0.78
ARRIBA	0.77
ChimPipe	0.77
deFuse	0.77
nFuse	0.77
InFusion	0.75
ChimeraScan	0.74
PIZZLY	0.74
PRADA	0.74
SOAP-fuse	0.74
STAR_FUSION_v1.5	0.74
FUSIONCATCHER_v1.10_June192019	0.72
MapSplice	0.66
TopHat-Fusion	0.64
FusionHunter	0.63
STARCHIP_csm10_pGm2_May012019	0.63
ARRIBA_hc	0.62
EricScript	0.59
TrinityFusion-UC	0.55
JAFFA-Assembly	0.53
TrinityFusion-C	0.53
TrinityFusion-D	0.38
