prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
PRADA	5	33	1	1	0.97	0.97	0.97	0.03
SOAP-fuse	5	34	9	0	1	0.79	0.883	0.21
ChimPipe	4	32	9	2	0.94	0.78	0.853	0.22
STAR_FUSION_v1.5	5	33	13	1	0.97	0.72	0.827	0.28
FUSIONCATCHER_v1.10_June192019	6	29	13	5	0.85	0.69	0.762	0.31
STARSEQR	5	31	19	3	0.91	0.62	0.738	0.38
FusionHunter	4	23	6	11	0.68	0.79	0.731	0.21
MapSplice	15	22	5	12	0.65	0.81	0.721	0.19
TrinityFusion-C	2	20	3	14	0.59	0.87	0.703	0.13
ARRIBA_hc	8	24	11	10	0.71	0.69	0.7	0.31
TrinityFusion-UC	2	20	4	14	0.59	0.83	0.69	0.17
JAFFA-Hybrid	5	22	11	12	0.65	0.67	0.66	0.33
JAFFA-Assembly	5	22	11	12	0.65	0.67	0.66	0.33
PIZZLY	9	24	16	10	0.71	0.6	0.65	0.4
ARRIBA	10	24	17	10	0.71	0.59	0.644	0.41
STARCHIP_csm10_pGm2_May012019	13	18	7	16	0.53	0.72	0.611	0.28
InFusion	9	22	23	12	0.65	0.49	0.559	0.51
deFuse	7	26	40	8	0.76	0.39	0.515	0.61
TrinityFusion-D	4	12	3	22	0.35	0.8	0.487	0.2
nFuse	23	18	30	16	0.53	0.38	0.443	0.62
TopHat-Fusion	10	21	45	13	0.62	0.32	0.422	0.68
EricScript	16	20	45	14	0.59	0.31	0.406	0.69
ChimeraScan	8	21	54	13	0.62	0.28	0.386	0.72
