prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	PRADA	5	33	1	1	0.97	0.97	0.97
2	SOAP-fuse	5	34	9	0	1	0.79	0.883
3	ChimPipe	4	32	9	2	0.94	0.78	0.853
4	STAR_FUSION_v1.5	5	33	13	1	0.97	0.72	0.827
5	FUSIONCATCHER_v1.10_June192019	4	32	18	2	0.94	0.64	0.762
6	FUSIONCATCHER_v1.10_June192019	6	29	13	5	0.85	0.69	0.762
7	STARSEQR	5	31	19	3	0.91	0.62	0.738
8	FusionHunter	4	23	6	11	0.68	0.79	0.731
9	MapSplice	15	22	5	12	0.65	0.81	0.721
10	TrinityFusion-C	2	20	3	14	0.59	0.87	0.703
11	ARRIBA_hc	8	24	11	10	0.71	0.69	0.7
12	TrinityFusion-UC	2	20	4	14	0.59	0.83	0.69
13	JAFFA-Assembly	5	22	11	12	0.65	0.67	0.66
14	JAFFA-Hybrid	5	22	11	12	0.65	0.67	0.66
15	PIZZLY	9	24	16	10	0.71	0.6	0.65
16	ARRIBA	10	24	17	10	0.71	0.59	0.644
17	STARCHIP_csm10_pGm2_May012019	13	18	7	16	0.53	0.72	0.611
18	InFusion	9	22	23	12	0.65	0.49	0.559
19	deFuse	7	26	40	8	0.76	0.39	0.515
20	TrinityFusion-D	4	12	3	22	0.35	0.8	0.487
21	nFuse	23	18	30	16	0.53	0.38	0.443
22	TopHat-Fusion	8	24	56	10	0.71	0.3	0.422
23	TopHat-Fusion	10	21	45	13	0.62	0.32	0.422
24	EricScript	16	20	45	14	0.59	0.31	0.406
25	ChimeraScan	8	21	54	13	0.62	0.28	0.386
