prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
PRADA	5	33	0	1	0.97	1	0.985	0
ChimPipe	3	33	0	1	0.97	1	0.985	0
SOAP-fuse	5	34	2	0	1	0.94	0.969	0.0600000000000001
STAR_FUSION_v1.5	5	33	4	1	0.97	0.89	0.928	0.11
STARSEQR	3	34	7	0	1	0.83	0.907	0.17
ARRIBA_hc	3	30	8	4	0.88	0.79	0.833	0.21
FUSIONCATCHER_v1.10_June192019	4	32	12	2	0.94	0.73	0.822	0.27
FusionHunter	4	23	1	11	0.68	0.96	0.796	0.04
ARRIBA	7	26	9	8	0.76	0.74	0.75	0.26
JAFFA-Hybrid	2	23	5	11	0.68	0.82	0.743	0.18
JAFFA-Assembly	2	23	5	11	0.68	0.82	0.743	0.18
TrinityFusion-UC	2	20	0	14	0.59	1	0.742	0
STARCHIP_csm10_pGm2_May012019	3	22	4	12	0.65	0.85	0.737	0.15
TrinityFusion-C	2	20	1	14	0.59	0.95	0.728	0.05
MapSplice	15	22	5	12	0.65	0.81	0.721	0.19
PIZZLY	9	24	11	10	0.71	0.69	0.7	0.31
InFusion	9	22	19	12	0.65	0.54	0.59	0.46
deFuse	7	26	30	8	0.76	0.46	0.573	0.54
TrinityFusion-D	4	12	1	22	0.35	0.92	0.507	0.08
nFuse	23	18	26	16	0.53	0.41	0.462	0.59
TopHat-Fusion	8	24	51	10	0.71	0.32	0.441	0.68
EricScript	16	20	40	14	0.59	0.33	0.423	0.67
ChimeraScan	8	21	47	13	0.62	0.31	0.413	0.69
