prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	5	309	66	42	0.88	0.82	0.849
2	TrinityFusion-C	2	241	16	110	0.69	0.94	0.796
3	ChimPipe	3	227	8	124	0.65	0.97	0.778
4	ARRIBA_hc	5	272	77	79	0.77	0.78	0.775
5	TrinityFusion-UC	3	220	12	131	0.63	0.95	0.758
6	ARRIBA	6	274	125	77	0.78	0.69	0.732
7	SOAP-fuse	6	224	56	127	0.64	0.8	0.711
8	STARSEQR	3	311	246	40	0.89	0.56	0.687
9	TrinityFusion-D	2	186	24	165	0.53	0.89	0.664
10	PRADA	3	183	21	168	0.52	0.9	0.659
11	MapSplice	6	256	204	95	0.73	0.56	0.634
12	STARCHIP_csm10_pGm2_May012019	4	194	81	157	0.55	0.71	0.62
13	FUSIONCATCHER_v1.10_June192019	9	265	259	86	0.75	0.51	0.607
14	InFusion	8	235	202	116	0.67	0.54	0.598
15	TopHat-Fusion	7	248	293	103	0.71	0.46	0.558
16	JAFFA-Assembly	7	213	223	138	0.61	0.49	0.543
17	PIZZLY	5	223	303	128	0.64	0.42	0.507
18	JAFFA-Direct	7	221	357	130	0.63	0.38	0.474
19	FusionHunter	5	91	56	260	0.26	0.62	0.366
20	ChimeraScan	20	77	94	274	0.22	0.45	0.296
21	JAFFA-Hybrid	9	231	986	120	0.66	0.19	0.295
22	deFuse	22	166	834	185	0.47	0.17	0.25
23	nFuse	15	194	1243	157	0.55	0.14	0.223
24	EricScript	18	177	1864	174	0.5	0.09	0.153
25	EricScript	61	72	552	279	0.21	0.12	0.153
26	EricScript	62	72	550	279	0.21	0.12	0.153
