prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	6	287	147	64	0.82	0.66	0.731
2	TrinityFusion-C	3	231	57	120	0.66	0.8	0.723
3	TrinityFusion-UC	3	220	52	131	0.63	0.81	0.709
4	SOAP-fuse	7	216	93	135	0.62	0.7	0.658
5	ChimPipe	3	227	126	124	0.65	0.64	0.645
6	PRADA	3	183	57	168	0.52	0.76	0.617
7	TrinityFusion-D	3	179	52	172	0.51	0.77	0.614
8	MapSplice	6	256	241	95	0.73	0.52	0.607
9	ARRIBA_hc	6	256	290	95	0.73	0.47	0.572
10	FUSIONCATCHER_v1.10_June192019	9	265	354	86	0.75	0.43	0.547
11	InFusion	10	203	221	148	0.58	0.48	0.525
12	ARRIBA	6	274	454	77	0.78	0.38	0.511
13	JAFFA-Assembly	8	205	283	146	0.58	0.42	0.487
14	STARSEQR	5	281	555	70	0.8	0.34	0.477
15	TopHat-Fusion	7	248	478	103	0.71	0.34	0.46
16	JAFFA-Direct	8	209	374	142	0.6	0.36	0.45
17	STARCHIP_csm10_pGm2_May012019	4	194	341	157	0.55	0.36	0.435
18	PIZZLY	5	223	573	128	0.64	0.28	0.39
19	FusionHunter	5	91	65	260	0.26	0.58	0.359
20	JAFFA-Hybrid	9	231	1066	120	0.66	0.18	0.283
21	ChimeraScan	20	77	136	274	0.22	0.36	0.273
22	deFuse	20	179	1144	172	0.51	0.14	0.22
23	nFuse	39	96	512	255	0.27	0.16	0.201
24	EricScript	23	149	1603	202	0.42	0.09	0.148
25	EricScript	24	143	1523	208	0.41	0.09	0.148
