prog	rankval	mt	iu	okp	auc
137	ChimPipe	2	5	0	0	0.4
138	ChimPipe	2	5	0	1	0.4
139	ChimPipe	5	5	1	0	0.43
140	ChimPipe	5	5	1	1	0.43
141	ChimPipe	5	6	0	0	0.42
142	ChimPipe	4	6	0	1	0.42
143	ChimPipe	5	6	1	0	0.49
144	ChimPipe	5	6	1	1	0.49
145	ChimPipe	4	7	0	0	0.47
146	ChimPipe	5	7	0	1	0.46
147	ChimPipe	4	7	1	0	0.55
148	ChimPipe	5	7	1	1	0.55
149	ChimPipe	7	8	0	0	0.47
150	ChimPipe	7	8	0	1	0.47
151	ChimPipe	4	8	1	0	0.58
152	ChimPipe	4	8	1	1	0.58
153	ChimPipe	7	9	0	0	0.48
154	ChimPipe	7	9	0	1	0.48
155	ChimPipe	5	9	1	0	0.6
156	ChimPipe	4	9	1	1	0.6
157	ChimPipe	7	10	0	0	0.51
158	ChimPipe	7	10	0	1	0.51
159	ChimPipe	5	10	1	0	0.64
160	ChimPipe	5	10	1	1	0.64
161	FUSIONCATCHER_v1.10_June192019	6	3	0	0	0.15
162	FUSIONCATCHER_v1.10_June192019	6	3	0	1	0.15
163	FUSIONCATCHER_v1.10_June192019	7	3	1	0	0.16
164	FUSIONCATCHER_v1.10_June192019	7	3	1	1	0.16
165	FUSIONCATCHER_v1.10_June192019	6	4	0	0	0.29
166	FUSIONCATCHER_v1.10_June192019	5	4	0	1	0.3
167	FUSIONCATCHER_v1.10_June192019	6	4	1	0	0.32
168	FUSIONCATCHER_v1.10_June192019	6	4	1	1	0.32
169	FUSIONCATCHER_v1.10_June192019	5	5	0	0	0.38
170	FUSIONCATCHER_v1.10_June192019	4	5	0	1	0.37
171	FUSIONCATCHER_v1.10_June192019	6	5	1	0	0.41
172	FUSIONCATCHER_v1.10_June192019	6	5	1	1	0.4
173	FUSIONCATCHER_v1.10_June192019	3	6	0	0	0.43
174	FUSIONCATCHER_v1.10_June192019	3	6	0	1	0.43
175	FUSIONCATCHER_v1.10_June192019	7	6	1	0	0.47
176	FUSIONCATCHER_v1.10_June192019	6	6	1	1	0.46
177	FUSIONCATCHER_v1.10_June192019	5	7	0	0	0.47
178	FUSIONCATCHER_v1.10_June192019	3	7	0	1	0.47
179	FUSIONCATCHER_v1.10_June192019	7	7	1	0	0.52
180	FUSIONCATCHER_v1.10_June192019	7	7	1	1	0.51
181	FUSIONCATCHER_v1.10_June192019	4	8	0	0	0.5
182	FUSIONCATCHER_v1.10_June192019	5	8	0	1	0.5
183	FUSIONCATCHER_v1.10_June192019	7	8	1	0	0.55
184	FUSIONCATCHER_v1.10_June192019	7	8	1	1	0.54
185	FUSIONCATCHER_v1.10_June192019	5	9	0	0	0.51
186	FUSIONCATCHER_v1.10_June192019	6	9	0	1	0.51
187	FUSIONCATCHER_v1.10_June192019	8	9	1	0	0.57
188	FUSIONCATCHER_v1.10_June192019	8	9	1	1	0.56
189	FUSIONCATCHER_v1.10_June192019	6	10	0	0	0.53
190	FUSIONCATCHER_v1.10_June192019	6	10	0	1	0.54
191	FUSIONCATCHER_v1.10_June192019	8	10	1	0	0.6
192	FUSIONCATCHER_v1.10_June192019	9	10	1	1	0.59
193	STARCHIP_csm10_pGm2_May012019	7	3	0	0	0.15
194	STARCHIP_csm10_pGm2_May012019	7	3	0	1	0.15
195	STARCHIP_csm10_pGm2_May012019	5	3	1	0	0.17
196	STARCHIP_csm10_pGm2_May012019	5	3	1	1	0.17
197	STARCHIP_csm10_pGm2_May012019	15	4	0	0	0.2
198	STARCHIP_csm10_pGm2_May012019	14	4	0	1	0.2
199	STARCHIP_csm10_pGm2_May012019	9	4	1	0	0.29
200	STARCHIP_csm10_pGm2_May012019	8	4	1	1	0.29
201	STARCHIP_csm10_pGm2_May012019	15	5	0	0	0.22
202	STARCHIP_csm10_pGm2_May012019	15	5	0	1	0.22
203	STARCHIP_csm10_pGm2_May012019	11	5	1	0	0.34
204	STARCHIP_csm10_pGm2_May012019	11	5	1	1	0.34
205	STARCHIP_csm10_pGm2_May012019	16	6	0	0	0.23
206	STARCHIP_csm10_pGm2_May012019	16	6	0	1	0.23
207	STARCHIP_csm10_pGm2_May012019	12	6	1	0	0.38
208	STARCHIP_csm10_pGm2_May012019	12	6	1	1	0.38
209	STARCHIP_csm10_pGm2_May012019	16	7	0	0	0.25
210	STARCHIP_csm10_pGm2_May012019	16	7	0	1	0.25
211	STARCHIP_csm10_pGm2_May012019	12	7	1	0	0.42
212	STARCHIP_csm10_pGm2_May012019	12	7	1	1	0.42
213	STARCHIP_csm10_pGm2_May012019	18	8	0	0	0.24
214	STARCHIP_csm10_pGm2_May012019	18	8	0	1	0.24
215	STARCHIP_csm10_pGm2_May012019	12	8	1	0	0.44
216	STARCHIP_csm10_pGm2_May012019	12	8	1	1	0.44
217	STARCHIP_csm10_pGm2_May012019	18	9	0	0	0.25
218	STARCHIP_csm10_pGm2_May012019	18	9	0	1	0.25
219	STARCHIP_csm10_pGm2_May012019	12	9	1	0	0.45
220	STARCHIP_csm10_pGm2_May012019	12	9	1	1	0.45
221	STARCHIP_csm10_pGm2_May012019	18	10	0	0	0.26
222	STARCHIP_csm10_pGm2_May012019	18	10	0	1	0.26
223	STARCHIP_csm10_pGm2_May012019	12	10	1	0	0.49
224	STARCHIP_csm10_pGm2_May012019	13	10	1	1	0.48
225	InFusion	8	3	0	0	0.14
226	InFusion	8	3	0	1	0.14
227	InFusion	8	3	1	0	0.15
228	InFusion	8	3	1	1	0.15
229	InFusion	5	4	0	0	0.3
230	InFusion	6	4	0	1	0.29
231	InFusion	7	4	1	0	0.31
232	InFusion	7	4	1	1	0.3
