prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
6.8	SOAP-fuse	6	258	58	316	0.45	0.82	0.581	6
6.9	TrinityFusion-D	2	228	24	346	0.4	0.9	0.554	6
6.10	FUSIONCATCHER_v1.10_June192019	7	343	328	231	0.6	0.51	0.551	6
6.11	MapSplice	3	321	283	253	0.56	0.53	0.545	6
6.12	STARCHIP_csm10_pGm2_May012019	4	243	82	331	0.42	0.75	0.538	6
6.13	InFusion	5	333	334	241	0.58	0.5	0.537	6
6.14	TopHat-Fusion	6	320	339	254	0.56	0.49	0.523	6
6.15	JAFFA-Assembly	2	292	310	282	0.51	0.49	0.5	6
6.16	PRADA	3	191	21	383	0.33	0.9	0.483	6
6.17	JAFFA-Direct	3	399	716	175	0.7	0.36	0.475	6
6.18	PIZZLY	4	279	405	295	0.49	0.41	0.446	6
6.19	JAFFA-Hybrid	7	302	1187	272	0.53	0.2	0.29	6
6.20	FusionHunter	3	97	58	477	0.17	0.63	0.268	6
6.21	FusionHunter	4	96	56	478	0.17	0.63	0.268	6
6.22	FusionHunter	5	95	56	479	0.17	0.63	0.268	6
6.23	ChimeraScan	8	173	561	401	0.3	0.24	0.267	6
6.24	deFuse	15	246	1218	328	0.43	0.17	0.244	6
6.25	deFuse	18	217	1019	357	0.38	0.18	0.244	6
6.26	nFuse	15	231	1243	343	0.4	0.16	0.229	6
6.27	EricScript	23	156	1472	418	0.27	0.1	0.146	6
7.1	STAR_FUSION_v1.5	4	420	109	70	0.86	0.79	0.824	7
7.2	ARRIBA_hc	3	381	158	109	0.78	0.71	0.743	7
7.3	TrinityFusion-C	2	284	16	206	0.58	0.95	0.72	7
7.4	ARRIBA	4	404	241	86	0.82	0.63	0.713	7
7.5	ARRIBA	5	366	173	124	0.75	0.68	0.713	7
7.6	STARSEQR	2	427	301	63	0.87	0.59	0.703	7
7.7	ChimPipe	3	271	8	219	0.55	0.97	0.702	7
7.8	TrinityFusion-UC	2	270	34	220	0.55	0.89	0.68	7
7.9	SOAP-fuse	6	253	58	237	0.52	0.81	0.633	7
7.10	TrinityFusion-D	2	222	24	268	0.45	0.9	0.6	7
7.11	MapSplice	3	315	283	175	0.64	0.53	0.58	7
7.12	STARCHIP_csm10_pGm2_May012019	4	230	82	260	0.47	0.74	0.575	7
7.13	FUSIONCATCHER_v1.10_June192019	7	330	328	160	0.67	0.5	0.573	7
7.14	InFusion	5	319	334	171	0.65	0.49	0.559	7
7.15	InFusion	7	282	237	208	0.58	0.54	0.559	7
7.16	TopHat-Fusion	6	302	339	188	0.62	0.47	0.535	7
7.17	PRADA	3	188	21	302	0.38	0.9	0.534	7
7.18	JAFFA-Assembly	3	274	297	216	0.56	0.48	0.517	7
7.19	JAFFA-Direct	3	375	716	115	0.77	0.34	0.472	7
7.20	PIZZLY	5	239	303	251	0.49	0.44	0.464	7
7.21	FusionHunter	3	96	58	394	0.2	0.62	0.302	7
7.22	JAFFA-Hybrid	7	290	1187	200	0.59	0.2	0.299	7
7.23	ChimeraScan	8	163	561	327	0.33	0.23	0.271	7
7.24	deFuse	20	196	911	294	0.4	0.18	0.248	7
7.25	nFuse	14	227	1328	263	0.46	0.15	0.226	7
7.26	EricScript	23	155	1472	335	0.32	0.1	0.152	7
8.1	STAR_FUSION_v1.5	4	389	109	45	0.9	0.78	0.836	8
8.2	ARRIBA_hc	4	331	106	103	0.76	0.76	0.76	8
8.3	TrinityFusion-C	2	272	16	162	0.63	0.94	0.754	8
8.4	ChimPipe	3	256	8	178	0.59	0.97	0.734	8
8.5	ARRIBA	5	344	173	90	0.79	0.67	0.725	8
8.6	TrinityFusion-UC	2	256	34	178	0.59	0.88	0.706	8
8.7	STARSEQR	3	365	246	69	0.84	0.6	0.7	8
8.8	SOAP-fuse	6	246	58	188	0.57	0.81	0.669	8
8.9	TrinityFusion-D	2	209	24	225	0.48	0.9	0.626	8
8.10	MapSplice	4	294	249	140	0.68	0.54	0.602	8
8.11	MapSplice	5	284	226	150	0.65	0.56	0.602	8
8.12	STARCHIP_csm10_pGm2_May012019	4	215	82	219	0.5	0.72	0.59	8
8.13	FUSIONCATCHER_v1.10_June192019	9	288	260	146	0.66	0.53	0.588	8
8.14	InFusion	7	274	237	160	0.63	0.54	0.582	8
8.15	PRADA	3	188	21	246	0.43	0.9	0.582	8
8.16	TopHat-Fusion	6	291	339	143	0.67	0.46	0.545	8
8.17	JAFFA-Assembly	4	259	284	175	0.6	0.48	0.533	8
8.18	PIZZLY	5	235	303	199	0.54	0.44	0.485	8
8.19	JAFFA-Direct	4	322	585	112	0.74	0.36	0.484	8
8.20	FusionHunter	3	94	58	340	0.22	0.62	0.325	8
8.21	JAFFA-Hybrid	9	249	988	185	0.57	0.2	0.296	8
8.22	ChimeraScan	9	139	437	295	0.32	0.24	0.274	8
8.23	deFuse	19	197	966	237	0.45	0.17	0.247	8
8.24	nFuse	16	202	1169	232	0.47	0.15	0.227	8
8.25	EricScript	24	147	1397	287	0.34	0.1	0.155	8
9.1	STAR_FUSION_v1.5	5	336	66	61	0.85	0.84	0.845	9
9.2	TrinityFusion-C	2	261	16	136	0.66	0.94	0.775	9
9.3	ARRIBA_hc	4	315	106	82	0.79	0.75	0.769	9
9.4	ChimPipe	3	242	8	155	0.61	0.97	0.749	9
9.5	TrinityFusion-UC	2	245	34	152	0.62	0.88	0.727	9
9.6	ARRIBA	5	325	173	72	0.82	0.65	0.725	9
9.7	STARSEQR	3	344	246	53	0.87	0.58	0.696	9
9.8	SOAP-fuse	6	240	58	157	0.6	0.81	0.689	9
9.9	TrinityFusion-D	2	202	24	195	0.51	0.89	0.648	9
9.10	MapSplice	5	277	226	120	0.7	0.55	0.616	9
9.11	PRADA	3	184	21	213	0.46	0.9	0.609	9
9.12	STARCHIP_csm10_pGm2_May012019	4	204	82	193	0.51	0.71	0.594	9
9.13	InFusion	7	265	237	132	0.67	0.53	0.592	9
9.14	FUSIONCATCHER_v1.10_June192019	8	286	289	111	0.72	0.5	0.59	9
9.15	FUSIONCATCHER_v1.10_June192019	9	276	260	121	0.7	0.51	0.59	9
9.16	TopHat-Fusion	6	280	339	117	0.71	0.45	0.551	9
9.17	JAFFA-Assembly	4	249	284	148	0.63	0.47	0.538	9
