progname	min_thresh	ignoreUnsure	okpara	auc
deFuse	3	1	0	0.06
nFuse	3	1	0	0.06
FusionHunter	3	1	0	0.04
EricScript	3	1	0	0.02
STAR_FUSION_v1.5	3	0	1	0.24
ARRIBA	3	0	1	0.22
ARRIBA_hc	3	0	1	0.20
STARSEQR	3	0	1	0.18
ChimPipe	3	0	1	0.15
FUSIONCATCHER_v1.10_June192019	3	0	1	0.15
STARCHIP_csm10_pGm2_May012019	3	0	1	0.15
InFusion	3	0	1	0.14
TopHat-Fusion	3	0	1	0.14
TrinityFusion-C	3	0	1	0.13
MapSplice	3	0	1	0.12
SOAP-fuse	3	0	1	0.12
TrinityFusion-UC	3	0	1	0.12
PIZZLY	3	0	1	0.11
JAFFA-Direct	3	0	1	0.10
JAFFA-Assembly	3	0	1	0.09
PRADA	3	0	1	0.09
TrinityFusion-D	3	0	1	0.09
ChimeraScan	3	0	1	0.07
JAFFA-Hybrid	3	0	1	0.06
nFuse	3	0	1	0.06
deFuse	3	0	1	0.05
FusionHunter	3	0	1	0.04
EricScript	3	0	1	0.02
STAR_FUSION_v1.5	4	1	0	0.53
ARRIBA	4	1	0	0.49
ARRIBA_hc	4	1	0	0.45
STARSEQR	4	1	0	0.36
ChimPipe	4	1	0	0.34
FUSIONCATCHER_v1.10_June192019	4	1	0	0.32
InFusion	4	1	0	0.31
TrinityFusion-C	4	1	0	0.30
STARCHIP_csm10_pGm2_May012019	4	1	0	0.29
SOAP-fuse	4	1	0	0.28
TopHat-Fusion	4	1	0	0.28
TrinityFusion-UC	4	1	0	0.28
MapSplice	4	1	0	0.26
PIZZLY	4	1	0	0.24
JAFFA-Direct	4	1	0	0.21
TrinityFusion-D	4	1	0	0.21
PRADA	4	1	0	0.20
JAFFA-Assembly	4	1	0	0.17
ChimeraScan	4	1	0	0.13
JAFFA-Hybrid	4	1	0	0.11
FusionHunter	4	1	0	0.09
deFuse	4	1	0	0.09
nFuse	4	1	0	0.09
EricScript	4	1	0	0.03
STAR_FUSION_v1.5	4	0	1	0.49
ARRIBA	4	0	1	0.33
ChimPipe	4	0	1	0.33
ARRIBA_hc	4	0	1	0.32
FUSIONCATCHER_v1.10_June192019	4	0	1	0.30
InFusion	4	0	1	0.29
TrinityFusion-C	4	0	1	0.27
MapSplice	4	0	1	0.26
SOAP-fuse	4	0	1	0.26
STARSEQR	4	0	1	0.26
TrinityFusion-UC	4	0	1	0.26
TopHat-Fusion	4	0	1	0.25
JAFFA-Direct	4	0	1	0.20
STARCHIP_csm10_pGm2_May012019	4	0	1	0.20
TrinityFusion-D	4	0	1	0.20
PRADA	4	0	1	0.17
JAFFA-Assembly	4	0	1	0.16
PIZZLY	4	0	1	0.16
ChimeraScan	4	0	1	0.12
JAFFA-Hybrid	4	0	1	0.11
FusionHunter	4	0	1	0.09
deFuse	4	0	1	0.08
nFuse	4	0	1	0.08
EricScript	4	0	1	0.03
STAR_FUSION_v1.5	4	1	1	0.51
ARRIBA	4	1	1	0.47
ARRIBA_hc	4	1	1	0.43
STARSEQR	4	1	1	0.36
ChimPipe	4	1	1	0.34
FUSIONCATCHER_v1.10_June192019	4	1	1	0.32
InFusion	4	1	1	0.30
STARCHIP_csm10_pGm2_May012019	4	1	1	0.29
TopHat-Fusion	4	1	1	0.28
TrinityFusion-C	4	1	1	0.28
SOAP-fuse	4	1	1	0.27
MapSplice	4	1	1	0.26
