progname	min_thresh	ignoreUnsure	okpara	auc
STAR_FUSION_v1.5	9	0	0	0.74
TrinityFusion-C	9	0	0	0.57
SOAP-fuse	9	0	0	0.55
MapSplice	9	0	0	0.52
FUSIONCATCHER_v1.10_June192019	9	0	0	0.51
TrinityFusion-UC	9	0	0	0.51
ChimPipe	9	0	0	0.48
ARRIBA_hc	9	0	0	0.46
InFusion	9	0	0	0.44
ARRIBA	9	0	0	0.43
TrinityFusion-D	9	0	0	0.42
STARSEQR	9	0	0	0.37
PRADA	9	0	0	0.34
JAFFA-Direct	9	0	0	0.30
TopHat-Fusion	9	0	0	0.30
JAFFA-Assembly	9	0	0	0.26
PIZZLY	9	0	0	0.25
STARCHIP_csm10_pGm2_May012019	9	0	0	0.25
FusionHunter	9	0	0	0.19
ChimeraScan	9	0	0	0.17
JAFFA-Hybrid	9	0	0	0.17
deFuse	9	0	0	0.10
nFuse	9	0	0	0.10
EricScript	9	0	0	0.06
STAR_FUSION_v1.5	9	1	1	0.87
ARRIBA	9	1	1	0.72
ARRIBA_hc	9	1	1	0.71
ChimPipe	9	1	1	0.60
TrinityFusion-C	9	1	1	0.60
STARSEQR	9	1	1	0.59
SOAP-fuse	9	1	1	0.57
FUSIONCATCHER_v1.10_June192019	9	1	1	0.56
TrinityFusion-UC	9	1	1	0.56
MapSplice	9	1	1	0.53
InFusion	9	1	1	0.52
STARCHIP_csm10_pGm2_May012019	9	1	1	0.45
TrinityFusion-D	9	1	1	0.44
PRADA	9	1	1	0.43
PIZZLY	9	1	1	0.40
TopHat-Fusion	9	1	1	0.38
JAFFA-Direct	9	1	1	0.33
JAFFA-Assembly	9	1	1	0.30
ChimeraScan	9	1	1	0.21
FusionHunter	9	1	1	0.20
JAFFA-Hybrid	9	1	1	0.18
nFuse	9	1	1	0.12
deFuse	9	1	1	0.11
EricScript	9	1	1	0.06
