prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	60	6	37	0.62	0.91	0.738
2	STARSEQR	2	58	14	39	0.6	0.81	0.689
3	ChimPipe	3	46	1	51	0.47	0.98	0.635
4	ARRIBA_hc	2	55	23	42	0.57	0.71	0.632
5	SOAP-fuse	2	47	4	50	0.48	0.92	0.631
6	ARRIBA	2	73	65	24	0.75	0.53	0.621
7	PRADA	4	35	0	62	0.36	1	0.529
8	FUSIONCATCHER_v1.10_June192019	3	38	15	59	0.39	0.72	0.506
9	STARCHIP_csm10_pGm2_May012019	3	34	14	63	0.35	0.71	0.469
10	FusionHunter	3	29	1	68	0.3	0.97	0.458
11	JAFFA-Assembly	1	31	9	66	0.32	0.77	0.452
12	JAFFA-Hybrid	1	31	9	66	0.32	0.77	0.452
13	MapSplice	5	29	17	68	0.3	0.63	0.406
14	InFusion	5	37	49	60	0.38	0.43	0.403
15	TrinityFusion-UC	2	24	0	73	0.25	1	0.4
16	PIZZLY	5	36	50	61	0.37	0.42	0.393
17	deFuse	7	32	35	65	0.33	0.48	0.391
18	TrinityFusion-C	2	23	0	74	0.24	1	0.387
19	TopHat-Fusion	7	31	58	66	0.32	0.35	0.334
20	nFuse	23	22	28	75	0.23	0.44	0.302
21	EricScript	6	31	80	66	0.32	0.28	0.299
22	ChimeraScan	6	30	77	67	0.31	0.28	0.294
23	TrinityFusion-D	4	14	1	83	0.14	0.93	0.243
