prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	63	6	34	0.65	0.91	0.758	0.09
STARSEQR	2	58	14	39	0.6	0.81	0.689	0.19
SOAP-fuse	2	50	4	47	0.52	0.93	0.667	0.07
ARRIBA_hc	2	58	23	39	0.6	0.72	0.655	0.28
ARRIBA	2	77	65	20	0.79	0.54	0.642	0.46
ChimPipe	3	46	1	51	0.47	0.98	0.635	0.02
PRADA	4	35	0	62	0.36	1	0.529	0
FUSIONCATCHER_v1.10_June192019	3	38	15	59	0.39	0.72	0.506	0.28
STARCHIP_csm10_pGm2_May012019	3	34	14	63	0.35	0.71	0.469	0.29
FusionHunter	3	29	1	68	0.3	0.97	0.458	0.03
JAFFA-Hybrid	1	31	9	66	0.32	0.77	0.452	0.23
JAFFA-Assembly	1	31	9	66	0.32	0.77	0.452	0.23
MapSplice	5	29	17	68	0.3	0.63	0.406	0.37
PIZZLY	5	37	50	60	0.38	0.43	0.403	0.57
InFusion	5	37	49	60	0.38	0.43	0.403	0.57
TrinityFusion-UC	2	24	0	73	0.25	1	0.4	0
deFuse	7	32	35	65	0.33	0.48	0.391	0.52
TrinityFusion-C	2	22	1	75	0.23	0.96	0.371	0.04
TopHat-Fusion	7	31	58	66	0.32	0.35	0.334	0.65
nFuse	23	22	28	75	0.23	0.44	0.302	0.56
EricScript	6	31	80	66	0.32	0.28	0.299	0.72
ChimeraScan	6	30	77	67	0.31	0.28	0.294	0.72
TrinityFusion-D	4	15	1	82	0.15	0.94	0.259	0.0600000000000001
