prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	60	5	37	0.62	0.92	0.741	0.08
STARSEQR	2	58	11	39	0.6	0.84	0.7	0.16
ARRIBA	2	73	45	24	0.75	0.62	0.679	0.38
ARRIBA_hc	2	55	12	42	0.57	0.82	0.673	0.18
ChimPipe	3	46	0	51	0.47	1	0.639	0
SOAP-fuse	2	47	3	50	0.48	0.94	0.635	0.0600000000000001
PRADA	4	35	0	62	0.36	1	0.529	0
FUSIONCATCHER_v1.10_June192019	3	38	13	59	0.39	0.75	0.513	0.25
STARCHIP_csm10_pGm2_May012019	3	34	4	63	0.35	0.89	0.502	0.11
JAFFA-Hybrid	1	31	7	66	0.32	0.82	0.46	0.18
JAFFA-Assembly	1	31	7	66	0.32	0.82	0.46	0.18
FusionHunter	3	29	1	68	0.3	0.97	0.458	0.03
PIZZLY	5	36	38	61	0.37	0.49	0.422	0.51
InFusion	5	37	45	60	0.38	0.45	0.412	0.55
MapSplice	5	29	17	68	0.3	0.63	0.406	0.37
deFuse	7	32	30	65	0.33	0.52	0.404	0.48
TrinityFusion-UC	2	24	0	73	0.25	1	0.4	0
TrinityFusion-C	2	23	0	74	0.24	1	0.387	0
TopHat-Fusion	7	31	58	66	0.32	0.35	0.334	0.65
EricScript	7	29	63	68	0.3	0.32	0.31	0.68
nFuse	23	22	26	75	0.23	0.46	0.307	0.54
ChimeraScan	6	30	72	67	0.31	0.29	0.3	0.71
TrinityFusion-D	4	14	1	83	0.14	0.93	0.243	0.07
