prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	448	184	126	0.78	0.71	0.743
2	TrinityFusion-C	3	276	25	298	0.48	0.92	0.631
3	TrinityFusion-UC	3	263	24	311	0.46	0.92	0.613
4	ChimPipe	3	283	72	291	0.49	0.8	0.608
5	ARRIBA_hc	3	408	422	166	0.71	0.49	0.58
6	SOAP-fuse	6	258	91	316	0.45	0.74	0.56
7	ARRIBA	5	389	473	185	0.68	0.45	0.542
8	TrinityFusion-D	2	228	54	346	0.4	0.81	0.536
9	MapSplice	3	321	327	253	0.56	0.5	0.528
10	STARSEQR	3	418	593	156	0.73	0.41	0.525
11	FUSIONCATCHER_v1.10_June192019	7	343	402	231	0.6	0.46	0.521
12	InFusion	7	294	316	280	0.51	0.48	0.495
13	PRADA	3	191	49	383	0.33	0.8	0.467
14	TopHat-Fusion	6	320	510	254	0.56	0.39	0.46
15	JAFFA-Assembly	3	286	434	288	0.5	0.4	0.444
16	JAFFA-Assembly	5	266	356	308	0.46	0.43	0.444
17	JAFFA-Direct	3	399	856	175	0.7	0.32	0.439
18	STARCHIP_csm10_pGm2_May012019	4	243	295	331	0.42	0.45	0.434
19	PIZZLY	5	245	557	329	0.43	0.31	0.36
20	JAFFA-Hybrid	7	302	1261	272	0.53	0.19	0.28
21	FusionHunter	5	95	61	479	0.17	0.61	0.266
22	ChimeraScan	7	194	848	380	0.34	0.19	0.244
23	deFuse	21	197	1073	377	0.34	0.16	0.218
24	nFuse	13	257	1645	317	0.45	0.14	0.214
25	EricScript	19	180	1898	394	0.31	0.09	0.139
