prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	4	448	184	126	0.78	0.71	0.743	0.29
TrinityFusion-C	3	276	25	298	0.48	0.92	0.631	0.08
TrinityFusion-UC	3	263	24	311	0.46	0.92	0.613	0.08
ChimPipe	3	283	72	291	0.49	0.8	0.608	0.2
ARRIBA_hc	3	408	422	166	0.71	0.49	0.58	0.51
SOAP-fuse	6	258	91	316	0.45	0.74	0.56	0.26
ARRIBA	5	389	473	185	0.68	0.45	0.542	0.55
TrinityFusion-D	2	228	54	346	0.4	0.81	0.536	0.19
MapSplice	3	321	327	253	0.56	0.5	0.528	0.5
STARSEQR	3	418	593	156	0.73	0.41	0.525	0.59
FUSIONCATCHER_v1.10_June192019	7	343	402	231	0.6	0.46	0.521	0.54
InFusion	7	294	316	280	0.51	0.48	0.495	0.52
PRADA	3	191	49	383	0.33	0.8	0.467	0.2
TopHat-Fusion	6	320	510	254	0.56	0.39	0.46	0.61
JAFFA-Assembly	5	266	356	308	0.46	0.43	0.444	0.57
JAFFA-Direct	3	399	856	175	0.7	0.32	0.439	0.68
STARCHIP_csm10_pGm2_May012019	4	243	295	331	0.42	0.45	0.434	0.55
PIZZLY	5	245	557	329	0.43	0.31	0.36	0.69
JAFFA-Hybrid	7	302	1261	272	0.53	0.19	0.28	0.81
FusionHunter	5	95	61	479	0.17	0.61	0.266	0.39
ChimeraScan	7	194	848	380	0.34	0.19	0.244	0.81
deFuse	21	197	1073	377	0.34	0.16	0.218	0.84
nFuse	13	257	1645	317	0.45	0.14	0.214	0.86
EricScript	19	180	1898	394	0.31	0.09	0.139	0.91
