prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	448	109	126	0.78	0.8	0.79
2	ARRIBA_hc	3	408	158	166	0.71	0.72	0.715
3	STARSEQR	2	475	301	99	0.83	0.61	0.703
4	ARRIBA	4	435	241	139	0.76	0.64	0.695
5	TrinityFusion-C	2	303	16	271	0.53	0.95	0.68
6	ChimPipe	3	283	8	291	0.49	0.97	0.651
7	TrinityFusion-UC	2	290	34	284	0.51	0.9	0.651
8	SOAP-fuse	6	258	58	316	0.45	0.82	0.581
9	TrinityFusion-D	2	228	24	346	0.4	0.9	0.554
10	FUSIONCATCHER_v1.10_June192019	7	343	328	231	0.6	0.51	0.551
11	MapSplice	3	321	283	253	0.56	0.53	0.545
12	STARCHIP_csm10_pGm2_May012019	4	243	82	331	0.42	0.75	0.538
13	InFusion	5	333	334	241	0.58	0.5	0.537
14	TopHat-Fusion	6	320	339	254	0.56	0.49	0.523
15	JAFFA-Assembly	2	292	310	282	0.51	0.49	0.5
16	PRADA	3	191	21	383	0.33	0.9	0.483
17	JAFFA-Direct	3	399	716	175	0.7	0.36	0.475
18	PIZZLY	4	279	405	295	0.49	0.41	0.446
19	JAFFA-Hybrid	7	302	1187	272	0.53	0.2	0.29
20	FusionHunter	3	97	58	477	0.17	0.63	0.268
21	FusionHunter	4	96	56	478	0.17	0.63	0.268
22	FusionHunter	5	95	56	479	0.17	0.63	0.268
23	ChimeraScan	8	173	561	401	0.3	0.24	0.267
24	deFuse	15	246	1218	328	0.43	0.17	0.244
25	deFuse	18	217	1019	357	0.38	0.18	0.244
26	nFuse	15	231	1243	343	0.4	0.16	0.229
27	EricScript	23	156	1472	418	0.27	0.1	0.146
