prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	4	434	176	140	0.76	0.71	0.734	0.29
TrinityFusion-C	3	264	24	310	0.46	0.92	0.613	0.08
ChimPipe	3	282	72	292	0.49	0.8	0.608	0.2
TrinityFusion-UC	3	252	20	322	0.44	0.93	0.597	0.07
ARRIBA_hc	3	392	420	182	0.68	0.48	0.563	0.52
SOAP-fuse	6	250	87	324	0.44	0.74	0.552	0.26
ARRIBA	4	419	589	155	0.73	0.42	0.533	0.58
MapSplice	3	321	326	253	0.56	0.5	0.528	0.5
TrinityFusion-D	2	222	53	352	0.39	0.81	0.526	0.19
STARSEQR	3	419	592	155	0.73	0.41	0.525	0.59
FUSIONCATCHER_v1.10_June192019	7	338	398	236	0.59	0.46	0.517	0.54
InFusion	7	289	316	285	0.5	0.48	0.49	0.52
PRADA	3	191	49	383	0.33	0.8	0.467	0.2
TopHat-Fusion	6	317	498	257	0.55	0.39	0.456	0.61
JAFFA-Assembly	5	263	355	311	0.46	0.43	0.444	0.57
JAFFA-Direct	3	397	848	177	0.69	0.32	0.437	0.68
STARCHIP_csm10_pGm2_May012019	4	241	294	333	0.42	0.45	0.434	0.55
PIZZLY	4	269	709	305	0.47	0.28	0.351	0.72
JAFFA-Hybrid	7	301	1258	273	0.52	0.19	0.278	0.81
FusionHunter	5	96	60	478	0.17	0.62	0.267	0.38
ChimeraScan	7	192	842	382	0.33	0.19	0.241	0.81
deFuse	17	224	1311	350	0.39	0.15	0.217	0.85
nFuse	14	241	1522	333	0.42	0.14	0.21	0.86
EricScript	18	187	2010	387	0.33	0.09	0.141	0.91
