prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	4	43	9	7	0.86	0.83	0.845	0.17
ChimPipe	4	38	3	12	0.76	0.93	0.836	0.07
STARSEQR	3	45	15	5	0.9	0.75	0.818	0.25
SOAP-fuse	5	38	5	12	0.76	0.88	0.816	0.12
PRADA	5	34	0	16	0.68	1	0.81	0
FUSIONCATCHER_v1.10_June192019	4	36	14	14	0.72	0.72	0.72	0.28
FusionHunter	3	28	2	22	0.56	0.93	0.699	0.07
ARRIBA_hc	3	40	25	10	0.8	0.62	0.699	0.38
JAFFA-Hybrid	2	28	8	22	0.56	0.78	0.652	0.22
JAFFA-Assembly	2	28	8	22	0.56	0.78	0.652	0.22
ARRIBA	7	31	20	19	0.62	0.61	0.615	0.39
TrinityFusion-UC	2	22	2	28	0.44	0.92	0.595	0.08
MapSplice	8	27	15	23	0.54	0.64	0.586	0.36
TrinityFusion-C	2	21	2	29	0.42	0.91	0.575	0.09
InFusion	8	28	22	22	0.56	0.56	0.56	0.44
STARCHIP_csm10_pGm2_May012019	4	25	15	25	0.5	0.62	0.554	0.38
PIZZLY	9	24	16	26	0.48	0.6	0.533	0.4
deFuse	7	30	36	20	0.6	0.45	0.514	0.55
TopHat-Fusion	8	28	52	22	0.56	0.35	0.431	0.65
TrinityFusion-D	4	14	1	36	0.28	0.93	0.43	0.07
nFuse	23	20	28	30	0.4	0.42	0.41	0.58
EricScript	10	25	57	25	0.5	0.3	0.375	0.7
ChimeraScan	8	23	52	27	0.46	0.31	0.37	0.69
