prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	46	5	4	0.92	0.9	0.91	0.1
ChimPipe	3	40	0	10	0.8	1	0.889	0
STARSEQR	3	45	7	5	0.9	0.87	0.885	0.13
SOAP-fuse	2	41	3	9	0.82	0.93	0.872	0.07
ARRIBA_hc	3	40	8	10	0.8	0.83	0.815	0.17
PRADA	5	34	0	16	0.68	1	0.81	0
FUSIONCATCHER_v1.10_June192019	3	37	13	13	0.74	0.74	0.74	0.26
ARRIBA	3	47	30	3	0.94	0.61	0.74	0.39
FusionHunter	3	28	1	22	0.56	0.97	0.71	0.03
JAFFA-Hybrid	1	29	7	21	0.58	0.81	0.676	0.19
JAFFA-Assembly	1	29	7	21	0.58	0.81	0.676	0.19
STARCHIP_csm10_pGm2_May012019	3	26	4	24	0.52	0.87	0.651	0.13
TrinityFusion-UC	2	22	0	28	0.44	1	0.611	0
MapSplice	8	27	14	23	0.54	0.66	0.594	0.34
TrinityFusion-C	2	21	1	29	0.42	0.95	0.582	0.05
PIZZLY	9	24	11	26	0.48	0.69	0.566	0.31
InFusion	8	28	21	22	0.56	0.57	0.565	0.43
deFuse	7	30	30	20	0.6	0.5	0.545	0.5
TopHat-Fusion	8	28	51	22	0.56	0.35	0.431	0.65
TrinityFusion-D	4	14	1	36	0.28	0.93	0.43	0.07
nFuse	23	20	26	30	0.4	0.43	0.414	0.57
EricScript	10	25	50	25	0.5	0.33	0.398	0.67
ChimeraScan	6	29	72	21	0.58	0.29	0.387	0.71
