prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	716	270	237	0.75	0.73	0.74	0.27
STARSEQR	2	603	301	350	0.63	0.67	0.649	0.33
ARRIBA	1	696	608	257	0.73	0.53	0.614	0.47
ARRIBA_hc	2	509	217	444	0.53	0.7	0.603	0.3
TrinityFusion-C	2	349	16	604	0.37	0.96	0.534	0.04
ChimPipe	3	330	8	623	0.35	0.98	0.516	0.02
TrinityFusion-UC	2	326	34	627	0.34	0.91	0.495	0.09
FUSIONCATCHER_v1.10_June192019	4	468	563	485	0.49	0.45	0.469	0.55
TopHat-Fusion	5	409	396	544	0.43	0.51	0.467	0.49
InFusion	5	395	334	558	0.41	0.54	0.466	0.46
STARCHIP_csm10_pGm2_May012019	4	302	82	651	0.32	0.79	0.455	0.21
JAFFA-Direct	2	558	1059	395	0.59	0.35	0.439	0.65
SOAP-fuse	2	301	134	652	0.32	0.69	0.437	0.31
MapSplice	3	344	283	609	0.36	0.55	0.435	0.45
JAFFA-Assembly	1	340	343	613	0.36	0.5	0.419	0.5
TrinityFusion-D	2	244	24	709	0.26	0.91	0.404	0.09
PIZZLY	4	327	405	626	0.34	0.45	0.387	0.55
PRADA	3	202	21	751	0.21	0.91	0.341	0.09
JAFFA-Hybrid	2	552	2182	401	0.58	0.2	0.297	0.8
deFuse	6	387	1792	566	0.41	0.18	0.25	0.82
nFuse	13	314	1437	639	0.33	0.18	0.233	0.82
ChimeraScan	8	196	561	757	0.21	0.26	0.232	0.74
FusionHunter	6	94	55	859	0.1	0.63	0.173	0.37
EricScript	20	176	1672	777	0.18	0.1	0.129	0.9
