prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	716	270	237	0.75	0.73	0.74
2	STARSEQR	2	603	301	350	0.63	0.67	0.649
3	ARRIBA	1	696	608	257	0.73	0.53	0.614
4	ARRIBA_hc	2	509	217	444	0.53	0.7	0.603
5	TrinityFusion-C	2	349	16	604	0.37	0.96	0.534
6	ChimPipe	3	330	8	623	0.35	0.98	0.516
7	TrinityFusion-UC	2	326	34	627	0.34	0.91	0.495
8	FUSIONCATCHER_v1.10_June192019	4	468	563	485	0.49	0.45	0.469
9	TopHat-Fusion	5	409	396	544	0.43	0.51	0.467
10	InFusion	5	395	334	558	0.41	0.54	0.466
11	STARCHIP_csm10_pGm2_May012019	4	302	82	651	0.32	0.79	0.455
12	JAFFA-Direct	2	558	1059	395	0.59	0.35	0.439
13	SOAP-fuse	2	301	134	652	0.32	0.69	0.437
14	MapSplice	3	344	283	609	0.36	0.55	0.435
15	JAFFA-Assembly	1	340	343	613	0.36	0.5	0.419
16	TrinityFusion-D	2	244	24	709	0.26	0.91	0.404
17	PIZZLY	4	327	405	626	0.34	0.45	0.387
18	PRADA	3	202	21	751	0.21	0.91	0.341
19	JAFFA-Hybrid	2	552	2182	401	0.58	0.2	0.297
20	deFuse	6	387	1792	566	0.41	0.18	0.25
21	nFuse	13	314	1437	639	0.33	0.18	0.233
22	ChimeraScan	6	249	957	704	0.26	0.21	0.232
23	ChimeraScan	8	196	561	757	0.21	0.26	0.232
24	FusionHunter	3	99	58	854	0.1	0.63	0.173
25	FusionHunter	4	98	56	855	0.1	0.64	0.173
26	FusionHunter	5	96	56	857	0.1	0.63	0.173
27	FusionHunter	6	94	55	859	0.1	0.63	0.173
28	EricScript	20	176	1672	777	0.18	0.1	0.129
