prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	694	269	259	0.73	0.72	0.725
2	STARSEQR	2	604	300	349	0.63	0.67	0.649
3	ARRIBA	1	671	608	282	0.7	0.52	0.597
4	ARRIBA_hc	2	488	217	465	0.51	0.69	0.587
5	ChimPipe	3	329	8	624	0.35	0.98	0.516
6	TrinityFusion-C	2	331	16	622	0.35	0.95	0.512
7	TrinityFusion-UC	2	309	34	644	0.32	0.9	0.472
8	FUSIONCATCHER_v1.10_June192019	4	464	561	489	0.49	0.45	0.469
9	TopHat-Fusion	5	407	389	546	0.43	0.51	0.467
10	InFusion	5	390	334	563	0.41	0.54	0.466
11	STARCHIP_csm10_pGm2_May012019	3	303	99	650	0.32	0.75	0.449
12	JAFFA-Direct	3	465	710	488	0.49	0.4	0.44
13	MapSplice	3	344	282	609	0.36	0.55	0.435
14	SOAP-fuse	2	291	132	662	0.31	0.69	0.428
15	JAFFA-Assembly	1	339	342	614	0.36	0.5	0.419
16	TrinityFusion-D	2	235	24	718	0.25	0.91	0.392
17	PIZZLY	4	316	402	637	0.33	0.44	0.377
18	PRADA	3	202	21	751	0.21	0.91	0.341
19	JAFFA-Hybrid	2	551	2176	402	0.58	0.2	0.297
20	deFuse	10	369	1624	584	0.39	0.19	0.256
21	nFuse	13	312	1435	641	0.33	0.18	0.233
22	ChimeraScan	7	217	717	736	0.23	0.23	0.23
23	FusionHunter	3	100	58	853	0.1	0.63	0.173
24	FusionHunter	4	99	56	854	0.1	0.64	0.173
25	FusionHunter	5	97	56	856	0.1	0.63	0.173
26	FusionHunter	6	95	55	858	0.1	0.63	0.173
27	FusionHunter	7	92	55	861	0.1	0.63	0.173
28	EricScript	19	185	1759	768	0.19	0.1	0.131
29	EricScript	20	179	1671	774	0.19	0.1	0.131
