prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	411	109	79	0.84	0.79	0.814
2	ARRIBA_hc	3	371	158	119	0.76	0.7	0.729
3	ARRIBA_hc	4	341	106	149	0.7	0.76	0.729
4	STARSEQR	2	429	301	61	0.88	0.59	0.706
5	ChimPipe	3	270	8	220	0.55	0.97	0.702
6	TrinityFusion-C	2	274	16	216	0.56	0.94	0.702
7	ARRIBA	4	394	241	96	0.8	0.62	0.699
8	ARRIBA	5	356	173	134	0.73	0.67	0.699
9	TrinityFusion-UC	2	262	34	228	0.53	0.89	0.664
10	SOAP-fuse	6	246	56	244	0.5	0.81	0.618
11	TrinityFusion-D	2	216	24	274	0.44	0.9	0.591
12	MapSplice	3	315	282	175	0.64	0.53	0.58
13	STARCHIP_csm10_pGm2_May012019	4	229	81	261	0.47	0.74	0.575
14	FUSIONCATCHER_v1.10_June192019	7	325	327	165	0.66	0.5	0.569
15	InFusion	5	318	334	172	0.65	0.49	0.559
16	PRADA	3	188	21	302	0.38	0.9	0.534
17	TopHat-Fusion	5	319	390	171	0.65	0.45	0.532
18	JAFFA-Assembly	3	273	296	217	0.56	0.48	0.517
19	JAFFA-Direct	3	375	711	115	0.77	0.35	0.481
20	PIZZLY	5	235	303	255	0.48	0.44	0.459
21	FusionHunter	3	97	58	393	0.2	0.63	0.304
22	FusionHunter	5	96	56	394	0.2	0.63	0.304
23	JAFFA-Hybrid	7	291	1185	199	0.59	0.2	0.299
24	ChimeraScan	9	145	435	345	0.3	0.25	0.273
25	deFuse	20	196	911	294	0.4	0.18	0.248
26	nFuse	14	226	1328	264	0.46	0.15	0.226
27	EricScript	23	157	1471	333	0.32	0.1	0.152
