prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	4	411	197	79	0.84	0.68	0.752	0.32
TrinityFusion-C	3	255	33	235	0.52	0.89	0.656	0.11
TrinityFusion-UC	3	244	28	246	0.5	0.9	0.643	0.1
ChimPipe	3	270	84	220	0.55	0.76	0.638	0.24
SOAP-fuse	6	246	91	244	0.5	0.73	0.593	0.27
ARRIBA_hc	4	341	362	149	0.7	0.49	0.576	0.51
TrinityFusion-D	2	216	59	274	0.44	0.79	0.565	0.21
MapSplice	4	300	282	190	0.61	0.52	0.561	0.48
ARRIBA	5	356	491	134	0.73	0.42	0.533	0.58
FUSIONCATCHER_v1.10_June192019	8	305	362	185	0.62	0.46	0.528	0.54
STARSEQR	3	397	613	93	0.81	0.39	0.526	0.61
PRADA	3	188	52	302	0.38	0.78	0.511	0.22
InFusion	7	281	324	209	0.57	0.46	0.509	0.54
JAFFA-Assembly	5	257	361	233	0.52	0.42	0.465	0.58
TopHat-Fusion	6	301	515	189	0.61	0.37	0.461	0.63
STARCHIP_csm10_pGm2_May012019	4	229	306	261	0.47	0.43	0.449	0.57
JAFFA-Direct	4	332	691	158	0.68	0.32	0.435	0.68
PIZZLY	5	235	560	255	0.48	0.3	0.369	0.7
FusionHunter	5	96	60	394	0.2	0.62	0.302	0.38
JAFFA-Hybrid	7	291	1267	199	0.59	0.19	0.287	0.81
ChimeraScan	8	164	675	326	0.33	0.2	0.249	0.8
deFuse	19	204	1191	286	0.42	0.15	0.221	0.85
nFuse	13	240	1658	250	0.49	0.13	0.205	0.87
EricScript	19	181	1897	309	0.37	0.09	0.145	0.91
