prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	4	420	205	70	0.86	0.67	0.753	0.33
TrinityFusion-C	3	265	34	225	0.54	0.89	0.672	0.11
TrinityFusion-UC	3	252	33	238	0.51	0.88	0.646	0.12
ChimPipe	3	271	84	219	0.55	0.76	0.638	0.24
SOAP-fuse	6	253	95	237	0.52	0.73	0.607	0.27
ARRIBA_hc	5	323	301	167	0.66	0.52	0.582	0.48
TrinityFusion-D	2	222	60	268	0.45	0.79	0.573	0.21
MapSplice	5	289	254	201	0.59	0.53	0.558	0.47
ARRIBA	5	366	494	124	0.75	0.43	0.547	0.57
FUSIONCATCHER_v1.10_June192019	8	310	366	180	0.63	0.46	0.532	0.54
STARSEQR	3	395	615	95	0.81	0.39	0.526	0.61
InFusion	7	282	326	208	0.58	0.46	0.513	0.54
PRADA	3	188	52	302	0.38	0.78	0.511	0.22
JAFFA-Assembly	5	258	363	232	0.53	0.42	0.469	0.58
TopHat-Fusion	7	280	457	210	0.57	0.38	0.456	0.62
STARCHIP_csm10_pGm2_May012019	4	230	307	260	0.47	0.43	0.449	0.57
JAFFA-Direct	4	332	698	158	0.68	0.32	0.435	0.68
PIZZLY	5	239	561	251	0.49	0.3	0.372	0.7
FusionHunter	3	96	66	394	0.2	0.59	0.299	0.41
JAFFA-Hybrid	7	290	1271	200	0.59	0.19	0.287	0.81
ChimeraScan	9	144	543	346	0.29	0.21	0.244	0.79
deFuse	19	204	1194	286	0.42	0.15	0.221	0.85
nFuse	13	241	1659	249	0.49	0.13	0.205	0.87
EricScript	19	179	1899	311	0.37	0.09	0.145	0.91
