prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
9.20	TrinityFusion-D	4	14	1	24	0.37	0.93	0.529	9
9.21	nFuse	23	19	26	19	0.5	0.42	0.457	9
9.22	TopHat-Fusion	8	26	51	12	0.68	0.34	0.453	9
9.23	ChimeraScan	8	23	47	15	0.61	0.33	0.428	9
9.24	EricScript	16	20	40	18	0.53	0.33	0.407	9
10.1	PRADA	5	33	0	1	0.97	1	0.985	10
10.2	ChimPipe	3	33	0	1	0.97	1	0.985	10
10.3	SOAP-fuse	5	34	2	0	1	0.94	0.969	10
10.4	STAR_FUSION_v1.5	5	33	4	1	0.97	0.89	0.928	10
10.5	STARSEQR	3	34	7	0	1	0.83	0.907	10
10.6	ARRIBA_hc	3	30	8	4	0.88	0.79	0.833	10
10.7	FUSIONCATCHER_v1.10_June192019	4	32	12	2	0.94	0.73	0.822	10
10.8	FusionHunter	4	23	1	11	0.68	0.96	0.796	10
10.9	ARRIBA	7	26	9	8	0.76	0.74	0.75	10
10.10	JAFFA-Hybrid	2	23	5	11	0.68	0.82	0.743	10
10.11	JAFFA-Assembly	2	23	5	11	0.68	0.82	0.743	10
10.12	TrinityFusion-UC	2	20	0	14	0.59	1	0.742	10
10.13	STARCHIP_csm10_pGm2_May012019	3	22	4	12	0.65	0.85	0.737	10
10.14	TrinityFusion-C	2	20	1	14	0.59	0.95	0.728	10
10.15	MapSplice	15	22	5	12	0.65	0.81	0.721	10
10.16	PIZZLY	9	24	11	10	0.71	0.69	0.7	10
10.17	InFusion	9	22	19	12	0.65	0.54	0.59	10
10.18	deFuse	7	26	30	8	0.76	0.46	0.573	10
10.19	TrinityFusion-D	4	12	1	22	0.35	0.92	0.507	10
10.20	nFuse	23	18	26	16	0.53	0.41	0.462	10
10.21	TopHat-Fusion	8	24	51	10	0.71	0.32	0.441	10
10.22	EricScript	16	20	40	14	0.59	0.33	0.423	10
10.23	ChimeraScan	8	21	47	13	0.62	0.31	0.413	10
