progname	min_thresh	ignoreUnsure	okpara	auc
ARRIBA_hc	6	1	1	0.72
PRADA	6	1	1	0.67
FUSIONCATCHER_v1.10_June192019	6	1	1	0.62
PIZZLY	6	1	1	0.55
FusionHunter	6	1	1	0.54
STARCHIP_csm10_pGm2_May012019	6	1	1	0.48
JAFFA-Assembly	6	1	1	0.45
JAFFA-Hybrid	6	1	1	0.45
InFusion	6	1	1	0.40
MapSplice	6	1	1	0.40
TrinityFusion-UC	6	1	1	0.37
TrinityFusion-C	6	1	1	0.34
deFuse	6	1	1	0.28
ChimeraScan	6	1	1	0.26
TrinityFusion-D	6	1	1	0.26
nFuse	6	1	1	0.25
TopHat-Fusion	6	1	1	0.24
EricScript	6	1	1	0.18
STAR_FUSION_v1.5	6	0	0	0.81
SOAP-fuse	6	0	0	0.78
ChimPipe	6	0	0	0.75
ARRIBA_hc	6	0	0	0.67
ARRIBA	6	0	0	0.66
PRADA	6	0	0	0.66
STARSEQR	6	0	0	0.66
FUSIONCATCHER_v1.10_June192019	6	0	0	0.61
FusionHunter	6	0	0	0.52
PIZZLY	6	0	0	0.51
STARCHIP_csm10_pGm2_May012019	6	0	0	0.44
JAFFA-Assembly	6	0	0	0.43
JAFFA-Hybrid	6	0	0	0.43
MapSplice	6	0	0	0.40
InFusion	6	0	0	0.39
TrinityFusion-UC	6	0	0	0.36
TrinityFusion-C	6	0	0	0.34
TrinityFusion-D	6	0	0	0.28
deFuse	6	0	0	0.26
ChimeraScan	6	0	0	0.25
TopHat-Fusion	6	0	0	0.24
nFuse	6	0	0	0.24
EricScript	6	0	0	0.17
STAR_FUSION_v1.5	6	0	1	0.79
SOAP-fuse	6	0	1	0.76
ChimPipe	6	0	1	0.75
PRADA	6	0	1	0.66
STARSEQR	6	0	1	0.66
ARRIBA	6	0	1	0.64
ARRIBA_hc	6	0	1	0.64
FUSIONCATCHER_v1.10_June192019	6	0	1	0.61
FusionHunter	6	0	1	0.52
PIZZLY	6	0	1	0.49
STARCHIP_csm10_pGm2_May012019	6	0	1	0.44
JAFFA-Assembly	6	0	1	0.43
JAFFA-Hybrid	6	0	1	0.43
MapSplice	6	0	1	0.40
InFusion	6	0	1	0.39
TrinityFusion-UC	6	0	1	0.36
TrinityFusion-C	6	0	1	0.34
TrinityFusion-D	6	0	1	0.26
deFuse	6	0	1	0.26
ChimeraScan	6	0	1	0.25
TopHat-Fusion	6	0	1	0.24
nFuse	6	0	1	0.24
EricScript	6	0	1	0.17
STAR_FUSION_v1.5	6	1	0	0.83
ChimPipe	6	1	0	0.79
SOAP-fuse	6	1	0	0.79
STARSEQR	6	1	0	0.77
ARRIBA	6	1	0	0.75
ARRIBA_hc	6	1	0	0.74
PRADA	6	1	0	0.67
FUSIONCATCHER_v1.10_June192019	6	1	0	0.62
PIZZLY	6	1	0	0.57
FusionHunter	6	1	0	0.54
STARCHIP_csm10_pGm2_May012019	6	1	0	0.48
JAFFA-Assembly	6	1	0	0.45
JAFFA-Hybrid	6	1	0	0.45
InFusion	6	1	0	0.40
MapSplice	6	1	0	0.40
TrinityFusion-UC	6	1	0	0.37
TrinityFusion-C	6	1	0	0.34
TrinityFusion-D	6	1	0	0.28
deFuse	6	1	0	0.28
ChimeraScan	6	1	0	0.26
nFuse	6	1	0	0.25
TopHat-Fusion	6	1	0	0.24
EricScript	6	1	0	0.18
SOAP-fuse	7	0	0	0.85
STAR_FUSION_v1.5	7	0	0	0.84
ChimPipe	7	0	0	0.81
PRADA	7	0	0	0.72
ARRIBA_hc	7	0	0	0.69
STARSEQR	7	0	0	0.68
ARRIBA	7	0	0	0.66
FUSIONCATCHER_v1.10_June192019	7	0	0	0.66
PIZZLY	7	0	0	0.55
FusionHunter	7	0	0	0.52
JAFFA-Assembly	7	0	0	0.43
JAFFA-Hybrid	7	0	0	0.43
MapSplice	7	0	0	0.43
STARCHIP_csm10_pGm2_May012019	7	0	0	0.43
TrinityFusion-UC	7	0	0	0.39
InFusion	7	0	0	0.38
TrinityFusion-C	7	0	0	0.37
TrinityFusion-D	7	0	0	0.30
ChimeraScan	7	0	0	0.27
deFuse	7	0	0	0.26
TopHat-Fusion	7	0	0	0.24
nFuse	7	0	0	0.24
EricScript	7	0	0	0.17
SOAP-fuse	7	0	1	0.82
STAR_FUSION_v1.5	7	0	1	0.82
ChimPipe	7	0	1	0.81
PRADA	7	0	1	0.72
STARSEQR	7	0	1	0.68
ARRIBA_hc	7	0	1	0.67
FUSIONCATCHER_v1.10_June192019	7	0	1	0.66
ARRIBA	7	0	1	0.64
PIZZLY	7	0	1	0.53
FusionHunter	7	0	1	0.52
JAFFA-Assembly	7	0	1	0.43
JAFFA-Hybrid	7	0	1	0.43
MapSplice	7	0	1	0.43
STARCHIP_csm10_pGm2_May012019	7	0	1	0.43
TrinityFusion-UC	7	0	1	0.39
InFusion	7	0	1	0.38
TrinityFusion-C	7	0	1	0.37
TrinityFusion-D	7	0	1	0.28
ChimeraScan	7	0	1	0.27
deFuse	7	0	1	0.26
TopHat-Fusion	7	0	1	0.24
nFuse	7	0	1	0.24
EricScript	7	0	1	0.17
ChimPipe	7	1	1	0.85
STAR_FUSION_v1.5	7	1	1	0.84
SOAP-fuse	7	1	1	0.83
STARSEQR	7	1	1	0.79
ARRIBA	7	1	1	0.74
ARRIBA_hc	7	1	1	0.74
PRADA	7	1	1	0.72
FUSIONCATCHER_v1.10_June192019	7	1	1	0.67
PIZZLY	7	1	1	0.59
FusionHunter	7	1	1	0.56
STARCHIP_csm10_pGm2_May012019	7	1	1	0.50
JAFFA-Assembly	7	1	1	0.47
JAFFA-Hybrid	7	1	1	0.47
MapSplice	7	1	1	0.43
InFusion	7	1	1	0.40
TrinityFusion-UC	7	1	1	0.39
TrinityFusion-C	7	1	1	0.37
ChimeraScan	7	1	1	0.29
TrinityFusion-D	7	1	1	0.28
deFuse	7	1	1	0.28
TopHat-Fusion	7	1	1	0.25
nFuse	7	1	1	0.25
EricScript	7	1	1	0.18
SOAP-fuse	7	1	0	0.86
STAR_FUSION_v1.5	7	1	0	0.86
ChimPipe	7	1	0	0.85
STARSEQR	7	1	0	0.79
ARRIBA	7	1	0	0.76
ARRIBA_hc	7	1	0	0.76
PRADA	7	1	0	0.72
FUSIONCATCHER_v1.10_June192019	7	1	0	0.67
PIZZLY	7	1	0	0.61
FusionHunter	7	1	0	0.56
STARCHIP_csm10_pGm2_May012019	7	1	0	0.50
JAFFA-Assembly	7	1	0	0.47
JAFFA-Hybrid	7	1	0	0.47
MapSplice	7	1	0	0.43
InFusion	7	1	0	0.40
TrinityFusion-UC	7	1	0	0.39
TrinityFusion-C	7	1	0	0.37
TrinityFusion-D	7	1	0	0.30
ChimeraScan	7	1	0	0.29
deFuse	7	1	0	0.28
TopHat-Fusion	7	1	0	0.25
nFuse	7	1	0	0.25
EricScript	7	1	0	0.18
SOAP-fuse	8	0	0	0.88
STAR_FUSION_v1.5	8	0	0	0.88
ChimPipe	8	0	0	0.84
PRADA	8	0	0	0.74
ARRIBA_hc	8	0	0	0.73
FUSIONCATCHER_v1.10_June192019	8	0	0	0.71
STARSEQR	8	0	0	0.69
ARRIBA	8	0	0	0.66
PIZZLY	8	0	0	0.57
FusionHunter	8	0	0	0.56
JAFFA-Assembly	8	0	0	0.46
JAFFA-Hybrid	8	0	0	0.46
STARCHIP_csm10_pGm2_May012019	8	0	0	0.46
MapSplice	8	0	0	0.45
TrinityFusion-UC	8	0	0	0.42
InFusion	8	0	0	0.41
TrinityFusion-C	8	0	0	0.39
TrinityFusion-D	8	0	0	0.32
ChimeraScan	8	0	0	0.28
deFuse	8	0	0	0.27
TopHat-Fusion	8	0	0	0.25
nFuse	8	0	0	0.25
EricScript	8	0	0	0.17
SOAP-fuse	8	0	1	0.85
STAR_FUSION_v1.5	8	0	1	0.85
ChimPipe	8	0	1	0.84
PRADA	8	0	1	0.74
FUSIONCATCHER_v1.10_June192019	8	0	1	0.71
ARRIBA_hc	8	0	1	0.70
STARSEQR	8	0	1	0.69
ARRIBA	8	0	1	0.64
FusionHunter	8	0	1	0.56
PIZZLY	8	0	1	0.55
JAFFA-Assembly	8	0	1	0.46
JAFFA-Hybrid	8	0	1	0.46
STARCHIP_csm10_pGm2_May012019	8	0	1	0.46
MapSplice	8	0	1	0.45
TrinityFusion-UC	8	0	1	0.42
InFusion	8	0	1	0.41
TrinityFusion-C	8	0	1	0.39
TrinityFusion-D	8	0	1	0.30
ChimeraScan	8	0	1	0.28
deFuse	8	0	1	0.27
TopHat-Fusion	8	0	1	0.25
nFuse	8	0	1	0.25
EricScript	8	0	1	0.17
STAR_FUSION_v1.5	8	1	0	0.90
ChimPipe	8	1	0	0.89
SOAP-fuse	8	1	0	0.89
STARSEQR	8	1	0	0.81
ARRIBA_hc	8	1	0	0.80
ARRIBA	8	1	0	0.76
PRADA	8	1	0	0.75
FUSIONCATCHER_v1.10_June192019	8	1	0	0.72
PIZZLY	8	1	0	0.63
FusionHunter	8	1	0	0.60
STARCHIP_csm10_pGm2_May012019	8	1	0	0.53
JAFFA-Assembly	8	1	0	0.50
JAFFA-Hybrid	8	1	0	0.50
MapSplice	8	1	0	0.45
InFusion	8	1	0	0.43
TrinityFusion-UC	8	1	0	0.42
TrinityFusion-C	8	1	0	0.39
TrinityFusion-D	8	1	0	0.32
ChimeraScan	8	1	0	0.30
deFuse	8	1	0	0.29
nFuse	8	1	0	0.27
TopHat-Fusion	8	1	0	0.26
EricScript	8	1	0	0.18
ChimPipe	8	1	1	0.89
SOAP-fuse	8	1	1	0.87
STAR_FUSION_v1.5	8	1	1	0.87
STARSEQR	8	1	1	0.81
ARRIBA_hc	8	1	1	0.77
PRADA	8	1	1	0.75
ARRIBA	8	1	1	0.74
FUSIONCATCHER_v1.10_June192019	8	1	1	0.72
PIZZLY	8	1	1	0.61
FusionHunter	8	1	1	0.60
STARCHIP_csm10_pGm2_May012019	8	1	1	0.53
JAFFA-Assembly	8	1	1	0.50
JAFFA-Hybrid	8	1	1	0.50
MapSplice	8	1	1	0.45
InFusion	8	1	1	0.43
TrinityFusion-UC	8	1	1	0.42
TrinityFusion-C	8	1	1	0.39
ChimeraScan	8	1	1	0.30
TrinityFusion-D	8	1	1	0.30
deFuse	8	1	1	0.29
nFuse	8	1	1	0.27
TopHat-Fusion	8	1	1	0.26
EricScript	8	1	1	0.18
SOAP-fuse	9	0	1	0.86
ChimPipe	9	0	1	0.85
PRADA	9	0	1	0.84
STAR_FUSION_v1.5	9	0	1	0.84
FUSIONCATCHER_v1.10_June192019	9	0	1	0.76
ARRIBA_hc	9	0	1	0.71
STARSEQR	9	0	1	0.69
ARRIBA	9	0	1	0.66
PIZZLY	9	0	1	0.60
FusionHunter	9	0	1	0.56
MapSplice	9	0	1	0.51
JAFFA-Assembly	9	0	1	0.50
JAFFA-Hybrid	9	0	1	0.50
STARCHIP_csm10_pGm2_May012019	9	0	1	0.50
TrinityFusion-C	9	0	1	0.45
TrinityFusion-UC	9	0	1	0.45
InFusion	9	0	1	0.42
TrinityFusion-D	9	0	1	0.34
ChimeraScan	9	0	1	0.29
deFuse	9	0	1	0.29
nFuse	9	0	1	0.27
TopHat-Fusion	9	0	1	0.26
EricScript	9	0	1	0.17
SOAP-fuse	9	1	0	0.91
ChimPipe	9	1	0	0.90
STAR_FUSION_v1.5	9	1	0	0.89
PRADA	9	1	0	0.84
STARSEQR	9	1	0	0.82
ARRIBA_hc	9	1	0	0.81
ARRIBA	9	1	0	0.79
FUSIONCATCHER_v1.10_June192019	9	1	0	0.77
PIZZLY	9	1	0	0.69
FusionHunter	9	1	0	0.60
STARCHIP_csm10_pGm2_May012019	9	1	0	0.58
JAFFA-Assembly	9	1	0	0.54
JAFFA-Hybrid	9	1	0	0.54
MapSplice	9	1	0	0.51
TrinityFusion-C	9	1	0	0.45
TrinityFusion-UC	9	1	0	0.45
InFusion	9	1	0	0.44
TrinityFusion-D	9	1	0	0.37
deFuse	9	1	0	0.32
ChimeraScan	9	1	0	0.30
nFuse	9	1	0	0.29
TopHat-Fusion	9	1	0	0.27
EricScript	9	1	0	0.18
SOAP-fuse	9	0	0	0.89
STAR_FUSION_v1.5	9	0	0	0.87
ChimPipe	9	0	0	0.85
PRADA	9	0	0	0.84
FUSIONCATCHER_v1.10_June192019	9	0	0	0.76
ARRIBA_hc	9	0	0	0.74
ARRIBA	9	0	0	0.69
STARSEQR	9	0	0	0.69
PIZZLY	9	0	0	0.62
FusionHunter	9	0	0	0.56
MapSplice	9	0	0	0.51
JAFFA-Assembly	9	0	0	0.50
JAFFA-Hybrid	9	0	0	0.50
STARCHIP_csm10_pGm2_May012019	9	0	0	0.50
TrinityFusion-C	9	0	0	0.45
TrinityFusion-UC	9	0	0	0.45
InFusion	9	0	0	0.42
TrinityFusion-D	9	0	0	0.37
ChimeraScan	9	0	0	0.29
deFuse	9	0	0	0.29
nFuse	9	0	0	0.27
TopHat-Fusion	9	0	0	0.26
EricScript	9	0	0	0.17
ChimPipe	9	1	1	0.90
SOAP-fuse	9	1	1	0.88
STAR_FUSION_v1.5	9	1	1	0.87
PRADA	9	1	1	0.84
STARSEQR	9	1	1	0.82
ARRIBA_hc	9	1	1	0.78
FUSIONCATCHER_v1.10_June192019	9	1	1	0.77
ARRIBA	9	1	1	0.76
PIZZLY	9	1	1	0.67
FusionHunter	9	1	1	0.60
