prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	56	10	14	0.8	0.85	0.824
2	ChimPipe	3	45	2	25	0.64	0.96	0.768
3	STARSEQR	2	54	18	16	0.77	0.75	0.76
4	SOAP-fuse	2	44	7	26	0.63	0.86	0.727
5	SOAP-fuse	3	43	5	27	0.61	0.9	0.727
6	PRADA	4	35	0	35	0.5	1	0.667
7	ARRIBA_hc	2	47	30	23	0.67	0.61	0.639
8	FUSIONCATCHER_v1.10_June192019	4	37	13	33	0.53	0.74	0.618
9	ARRIBA	4	46	40	24	0.66	0.53	0.588
10	FusionHunter	3	29	1	41	0.41	0.97	0.576
11	JAFFA-Hybrid	2	28	8	42	0.4	0.78	0.529
12	JAFFA-Assembly	2	28	8	42	0.4	0.78	0.529
13	TrinityFusion-UC	2	24	0	46	0.34	1	0.507
14	MapSplice	8	28	14	42	0.4	0.67	0.501
15	TrinityFusion-C	2	23	0	47	0.33	1	0.496
16	STARCHIP_csm10_pGm2_May012019	3	27	18	43	0.39	0.6	0.473
17	InFusion	8	28	22	42	0.4	0.56	0.467
18	PIZZLY	5	35	51	35	0.5	0.41	0.451
19	deFuse	7	30	36	40	0.43	0.45	0.44
20	TopHat-Fusion	8	29	51	41	0.41	0.36	0.383
21	nFuse	23	21	28	49	0.3	0.43	0.353
22	ChimeraScan	6	30	77	40	0.43	0.28	0.339
23	EricScript	6	30	81	40	0.43	0.27	0.332
24	TrinityFusion-D	4	14	1	56	0.2	0.93	0.329
