prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
ChimPipe	3	40	0	6	0.87	1	0.93	0
STAR_FUSION_v1.5	2	44	5	2	0.96	0.9	0.929	0.1
SOAP-fuse	2	42	3	4	0.91	0.93	0.92	0.07
STARSEQR	3	43	7	3	0.93	0.86	0.894	0.14
PRADA	5	34	0	12	0.74	1	0.851	0
ARRIBA_hc	3	39	8	7	0.85	0.83	0.84	0.17
FUSIONCATCHER_v1.10_June192019	3	37	13	9	0.8	0.74	0.769	0.26
ARRIBA	4	40	20	6	0.87	0.67	0.757	0.33
FusionHunter	3	27	1	19	0.59	0.96	0.731	0.04
JAFFA-Hybrid	2	27	5	19	0.59	0.84	0.693	0.16
JAFFA-Assembly	2	27	5	19	0.59	0.84	0.693	0.16
STARCHIP_csm10_pGm2_May012019	3	25	4	21	0.54	0.86	0.663	0.14
TrinityFusion-UC	2	22	0	24	0.48	1	0.649	0
MapSplice	8	27	14	19	0.59	0.66	0.623	0.34
TrinityFusion-C	2	21	1	25	0.46	0.95	0.62	0.05
PIZZLY	9	25	11	21	0.54	0.69	0.606	0.31
InFusion	8	27	21	19	0.59	0.56	0.575	0.44
deFuse	7	29	30	17	0.63	0.49	0.551	0.51
TrinityFusion-D	4	15	1	31	0.33	0.94	0.489	0.0600000000000001
TopHat-Fusion	8	27	51	19	0.59	0.35	0.439	0.65
nFuse	23	19	26	27	0.41	0.42	0.415	0.58
ChimeraScan	8	23	47	23	0.5	0.33	0.398	0.67
EricScript	10	24	50	22	0.52	0.32	0.396	0.68
