prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	5	41	6	5	0.89	0.87	0.88	0.13
ChimPipe	4	38	3	8	0.83	0.93	0.877	0.07
SOAP-fuse	5	39	5	7	0.85	0.89	0.87	0.11
PRADA	5	34	0	12	0.74	1	0.851	0
STARSEQR	3	43	17	3	0.93	0.72	0.812	0.28
FUSIONCATCHER_v1.10_June192019	4	36	14	10	0.78	0.72	0.749	0.28
FusionHunter	3	27	3	19	0.59	0.9	0.713	0.1
ARRIBA_hc	5	34	16	12	0.74	0.68	0.709	0.32
JAFFA-Hybrid	2	27	9	19	0.59	0.75	0.66	0.25
JAFFA-Assembly	2	27	9	19	0.59	0.75	0.66	0.25
ARRIBA	7	31	21	15	0.67	0.6	0.633	0.4
TrinityFusion-UC	2	22	2	24	0.48	0.92	0.631	0.08
MapSplice	8	27	15	19	0.59	0.64	0.614	0.36
TrinityFusion-C	2	21	2	25	0.46	0.91	0.611	0.09
PIZZLY	9	25	16	21	0.54	0.61	0.573	0.39
InFusion	8	27	23	19	0.59	0.54	0.564	0.46
STARCHIP_csm10_pGm2_May012019	4	24	16	22	0.52	0.6	0.557	0.4
deFuse	7	29	37	17	0.63	0.44	0.518	0.56
TrinityFusion-D	4	15	1	31	0.33	0.94	0.489	0.0600000000000001
TopHat-Fusion	8	27	53	19	0.59	0.34	0.431	0.66
nFuse	23	19	29	27	0.41	0.4	0.405	0.6
ChimeraScan	8	23	52	23	0.5	0.31	0.383	0.69
EricScript	10	24	58	22	0.52	0.29	0.372	0.71
