sample	prog	time_h
G25214.MKN7.1	DEFUSE	24.42
G25214.MKN7.1	ERICSCRIPT	8.32
G25214.MKN7.1	FUSION_CATCHER_V0994e	5.47
G25214.MKN7.1	MAPSPLICE	22.94
G25214.MKN7.1	FUSIONHUNTER	9.46
G25214.MKN7.1	NFUSE	9.77
G25214.MKN7.1	JAFFA_ASSEMBLY	21.21
G25214.MKN7.1	JAFFA_HYBRID	66.88
G25214.MKN7.1	JAFFA_DIRECT	11.19
G25214.MKN7.1	INFUSION_CF3	55.44
G25214.MKN7.1	CHIMPIPE	24.40
G25214.MKN7.1	ARRIBA	1.08
G25214.MKN7.1	PIZZLY	0.64
G25214.MKN7.1	STAR_FUSION_v1.5_hg19_Apr042019	2.64
G25214.MKN7.1	STARCHIP	0.83
G25214.MKN7.1	STARSEQR	2.59
G25214.MKN7.1	TRINITY_FUSION_C_hg19	43.40
G25214.MKN7.1	TRINITY_FUSION_hg19_Apr092019	182.69
G25214.MKN7.1	TRINITY_FUSION_D_hg19	57.29
G25214.MKN7.1	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.07
G25225.NCI-H522.1	TOPHAT_FUSION	27.87
G25225.NCI-H522.1	SOAP_FUSE	47.34
G25225.NCI-H522.1	CHIMERASCAN	25.80
G25225.NCI-H522.1	PRADA	11.91
G25225.NCI-H522.1	DEFUSE	26.32
G25225.NCI-H522.1	ERICSCRIPT	8.03
G25225.NCI-H522.1	FUSION_CATCHER_V0994e	5.71
G25225.NCI-H522.1	MAPSPLICE	27.44
G25225.NCI-H522.1	FUSIONHUNTER	9.75
G25225.NCI-H522.1	NFUSE	7.35
G25225.NCI-H522.1	JAFFA_ASSEMBLY	35.90
G25225.NCI-H522.1	JAFFA_HYBRID	67.75
G25225.NCI-H522.1	JAFFA_DIRECT	15.08
G25225.NCI-H522.1	INFUSION_CF3	61.75
G25225.NCI-H522.1	CHIMPIPE	23.84
G25225.NCI-H522.1	ARRIBA	0.96
G25225.NCI-H522.1	PIZZLY	0.62
G25225.NCI-H522.1	STAR_FUSION_v1.5_hg19_Apr042019	2.53
G25225.NCI-H522.1	STARCHIP	0.79
G25225.NCI-H522.1	STARSEQR	1.95
G25225.NCI-H522.1	TRINITY_FUSION_C_hg19	52.10
G25225.NCI-H522.1	TRINITY_FUSION_hg19_Apr092019	100.41
G25225.NCI-H522.1	TRINITY_FUSION_D_hg19	78.34
G25225.NCI-H522.1	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.07
G26175.A172.2	TOPHAT_FUSION	30.26
G26175.A172.2	SOAP_FUSE	28.93
G26175.A172.2	CHIMERASCAN	30.20
G26175.A172.2	PRADA	17.01
G26175.A172.2	DEFUSE	13.86
G26175.A172.2	ERICSCRIPT	8.61
G26175.A172.2	FUSION_CATCHER_V0994e	5.71
G26175.A172.2	MAPSPLICE	23.67
G26175.A172.2	FUSIONHUNTER	12.25
G26175.A172.2	NFUSE	7.36
G26175.A172.2	JAFFA_ASSEMBLY	21.21
G26175.A172.2	JAFFA_HYBRID	66.39
G26175.A172.2	JAFFA_DIRECT	16.25
G26175.A172.2	INFUSION_CF3	58.14
G26175.A172.2	CHIMPIPE	8.48
G26175.A172.2	ARRIBA	1.00
G26175.A172.2	PIZZLY	0.65
G26175.A172.2	STAR_FUSION_v1.5_hg19_Apr042019	2.77
G26175.A172.2	STARCHIP	0.86
G26175.A172.2	STARSEQR	1.92
G26175.A172.2	TRINITY_FUSION_C_hg19	38.65
G26175.A172.2	TRINITY_FUSION_hg19_Apr092019	66.95
G26175.A172.2	TRINITY_FUSION_D_hg19	73.84
G26175.A172.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.07
G26182.KMS-12-BM.2	TOPHAT_FUSION	30.62
G26182.KMS-12-BM.2	SOAP_FUSE	35.55
G26182.KMS-12-BM.2	CHIMERASCAN	29.78
G26182.KMS-12-BM.2	PRADA	13.29
G26182.KMS-12-BM.2	DEFUSE	17.79
G26182.KMS-12-BM.2	ERICSCRIPT	7.65
G26182.KMS-12-BM.2	FUSION_CATCHER_V0994e	6.31
G26182.KMS-12-BM.2	MAPSPLICE	27.96
G26182.KMS-12-BM.2	FUSIONHUNTER	10.04
G26182.KMS-12-BM.2	NFUSE	6.21
G26182.KMS-12-BM.2	JAFFA_ASSEMBLY	26.36
G26182.KMS-12-BM.2	JAFFA_HYBRID	67.30
G26182.KMS-12-BM.2	JAFFA_DIRECT	12.70
G26182.KMS-12-BM.2	INFUSION_CF3	64.75
G26182.KMS-12-BM.2	CHIMPIPE	9.94
G26182.KMS-12-BM.2	ARRIBA	1.03
G26182.KMS-12-BM.2	PIZZLY	0.49
G26182.KMS-12-BM.2	STAR_FUSION_v1.5_hg19_Apr042019	3.02
G26182.KMS-12-BM.2	STARCHIP	0.89
G26182.KMS-12-BM.2	STARSEQR	1.89
G26182.KMS-12-BM.2	TRINITY_FUSION_C_hg19	38.99
G26182.KMS-12-BM.2	TRINITY_FUSION_hg19_Apr092019	72.69
G26182.KMS-12-BM.2	TRINITY_FUSION_D_hg19	78.66
G26182.KMS-12-BM.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.06
G26199.LN-229.2	TOPHAT_FUSION	27.96
G26199.LN-229.2	SOAP_FUSE	44.85
G26199.LN-229.2	CHIMERASCAN	27.91
G26199.LN-229.2	PRADA	16.26
G26199.LN-229.2	DEFUSE	33.58
G26199.LN-229.2	ERICSCRIPT	6.72
G26199.LN-229.2	FUSION_CATCHER_V0994e	5.39
G26199.LN-229.2	MAPSPLICE	38.23
G26199.LN-229.2	FUSIONHUNTER	8.36
G26199.LN-229.2	NFUSE	10.03
G26199.LN-229.2	JAFFA_ASSEMBLY	31.98
G26199.LN-229.2	JAFFA_HYBRID	69.79
G26199.LN-229.2	JAFFA_DIRECT	9.50
G26199.LN-229.2	INFUSION_CF3	58.89
G26199.LN-229.2	CHIMPIPE	27.32
G26199.LN-229.2	ARRIBA	0.95
G26199.LN-229.2	PIZZLY	0.61
G26199.LN-229.2	STAR_FUSION_v1.5_hg19_Apr042019	2.73
G26199.LN-229.2	STARCHIP	0.85
G26199.LN-229.2	STARSEQR	2.03
G26199.LN-229.2	TRINITY_FUSION_C_hg19	46.44
G26199.LN-229.2	TRINITY_FUSION_hg19_Apr092019	75.75
G26199.LN-229.2	TRINITY_FUSION_D_hg19	66.58
G26199.LN-229.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.07
G26212.A-673.2	TOPHAT_FUSION	34.54
G26212.A-673.2	SOAP_FUSE	22.96
G26212.A-673.2	CHIMERASCAN	46.27
G26212.A-673.2	PRADA	12.86
G26212.A-673.2	DEFUSE	15.59
G26212.A-673.2	ERICSCRIPT	8.05
G26212.A-673.2	FUSION_CATCHER_V0994e	5.24
G26212.A-673.2	MAPSPLICE	24.18
G26212.A-673.2	FUSIONHUNTER	12.20
G26212.A-673.2	NFUSE	7.50
G26212.A-673.2	JAFFA_ASSEMBLY	13.28
G26212.A-673.2	JAFFA_HYBRID	75.21
G26212.A-673.2	JAFFA_DIRECT	13.01
G26212.A-673.2	INFUSION_CF3	62.60
G26212.A-673.2	CHIMPIPE	9.27
G26212.A-673.2	ARRIBA	1.02
G26212.A-673.2	PIZZLY	0.69
G26212.A-673.2	STAR_FUSION_v1.5_hg19_Apr042019	2.88
G26212.A-673.2	STARCHIP	0.87
G26212.A-673.2	STARSEQR	1.66
G26212.A-673.2	TRINITY_FUSION_C_hg19	53.90
G26212.A-673.2	TRINITY_FUSION_hg19_Apr092019	82.55
G26212.A-673.2	TRINITY_FUSION_D_hg19	71.91
G26212.A-673.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.04
G26216.KP-2.2	TOPHAT_FUSION	25.84
G26216.KP-2.2	SOAP_FUSE	34.63
G26216.KP-2.2	CHIMERASCAN	31.37
G26216.KP-2.2	PRADA	11.29
G26216.KP-2.2	DEFUSE	15.84
G26216.KP-2.2	ERICSCRIPT	10.92
G26216.KP-2.2	FUSION_CATCHER_V0994e	6.85
G26216.KP-2.2	MAPSPLICE	28.45
G26216.KP-2.2	FUSIONHUNTER	9.28
G26216.KP-2.2	NFUSE	5.98
