prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	PRADA	5	33	1	5	0.87	0.97	0.917
2	SOAP-fuse	5	35	8	3	0.92	0.81	0.862
3	ChimPipe	4	34	7	4	0.89	0.83	0.859
4	STAR_FUSION_v1.5	5	36	10	2	0.95	0.78	0.857
5	FUSIONCATCHER_v1.10_June192019	4	35	15	3	0.92	0.7	0.795
6	STARSEQR	5	34	16	4	0.89	0.68	0.771
7	FusionHunter	4	24	5	14	0.63	0.83	0.716
8	ARRIBA_hc	10	25	7	13	0.66	0.78	0.715
9	JAFFA-Assembly	2	26	10	12	0.68	0.72	0.699
10	JAFFA-Hybrid	2	26	10	12	0.68	0.72	0.699
11	TrinityFusion-C	2	21	2	17	0.55	0.91	0.686
12	TrinityFusion-UC	2	21	3	17	0.55	0.88	0.677
13	MapSplice	15	22	5	16	0.58	0.81	0.676
14	ARRIBA	10	26	15	12	0.68	0.63	0.654
15	PIZZLY	9	24	16	14	0.63	0.6	0.615
16	STARCHIP_csm10_pGm2_May012019	13	19	6	19	0.5	0.76	0.603
17	InFusion	9	24	21	14	0.63	0.53	0.576
18	TrinityFusion-D	4	14	1	24	0.37	0.93	0.529
19	deFuse	7	27	39	11	0.71	0.41	0.52
20	nFuse	23	19	29	19	0.5	0.4	0.444
21	TopHat-Fusion	8	26	54	12	0.68	0.32	0.435
22	ChimeraScan	8	23	52	15	0.61	0.31	0.411
23	EricScript	16	20	45	18	0.53	0.31	0.391
