prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
PRADA	5	33	1	5	0.87	0.97	0.917	0.03
SOAP-fuse	5	35	8	3	0.92	0.81	0.862	0.19
ChimPipe	4	34	7	4	0.89	0.83	0.859	0.17
STAR_FUSION_v1.5	5	36	10	2	0.95	0.78	0.857	0.22
FUSIONCATCHER_v1.10_June192019	4	35	15	3	0.92	0.7	0.795	0.3
STARSEQR	5	34	16	4	0.89	0.68	0.771	0.32
FusionHunter	4	24	5	14	0.63	0.83	0.716	0.17
ARRIBA_hc	10	25	7	13	0.66	0.78	0.715	0.22
JAFFA-Hybrid	2	26	10	12	0.68	0.72	0.699	0.28
JAFFA-Assembly	2	26	10	12	0.68	0.72	0.699	0.28
TrinityFusion-C	2	21	2	17	0.55	0.91	0.686	0.09
TrinityFusion-UC	2	21	3	17	0.55	0.88	0.677	0.12
MapSplice	15	22	5	16	0.58	0.81	0.676	0.19
ARRIBA	10	26	15	12	0.68	0.63	0.654	0.37
PIZZLY	9	24	16	14	0.63	0.6	0.615	0.4
STARCHIP_csm10_pGm2_May012019	13	19	6	19	0.5	0.76	0.603	0.24
InFusion	9	24	21	14	0.63	0.53	0.576	0.47
TrinityFusion-D	4	14	1	24	0.37	0.93	0.529	0.07
deFuse	7	27	39	11	0.71	0.41	0.52	0.59
nFuse	23	19	29	19	0.5	0.4	0.444	0.6
TopHat-Fusion	8	26	54	12	0.68	0.32	0.435	0.68
ChimeraScan	8	23	52	15	0.61	0.31	0.411	0.69
EricScript	16	20	45	18	0.53	0.31	0.391	0.69
