prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
ChimPipe	3	35	0	3	0.92	1	0.958	0
SOAP-fuse	5	35	2	3	0.92	0.95	0.935	0.05
PRADA	5	33	0	5	0.87	1	0.93	0
STAR_FUSION_v1.5	5	36	4	2	0.95	0.9	0.924	0.1
STARSEQR	3	37	7	1	0.97	0.84	0.9	0.16
ARRIBA_hc	3	33	8	5	0.87	0.8	0.834	0.2
FUSIONCATCHER_v1.10_June192019	5	34	11	4	0.89	0.76	0.82	0.24
FusionHunter	4	24	1	14	0.63	0.96	0.761	0.04
JAFFA-Hybrid	2	26	5	12	0.68	0.84	0.752	0.16
JAFFA-Assembly	2	26	5	12	0.68	0.84	0.752	0.16
ARRIBA	5	33	17	5	0.87	0.66	0.751	0.34
STARCHIP_csm10_pGm2_May012019	3	24	4	14	0.63	0.86	0.727	0.14
TrinityFusion-UC	2	21	0	17	0.55	1	0.71	0
TrinityFusion-C	2	21	1	17	0.55	0.95	0.697	0.05
MapSplice	8	27	14	11	0.71	0.66	0.684	0.34
PIZZLY	9	24	11	14	0.63	0.69	0.659	0.31
InFusion	8	25	21	13	0.66	0.54	0.594	0.46
deFuse	7	27	30	11	0.71	0.47	0.566	0.53
TrinityFusion-D	4	14	1	24	0.37	0.93	0.529	0.07
nFuse	23	19	26	19	0.5	0.42	0.457	0.58
TopHat-Fusion	8	26	51	12	0.68	0.34	0.453	0.66
ChimeraScan	8	23	47	15	0.61	0.33	0.428	0.67
EricScript	16	20	40	18	0.53	0.33	0.407	0.67
