prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	ChimPipe	3	35	0	3	0.92	1	0.958
2	SOAP-fuse	5	36	2	2	0.95	0.95	0.95
3	STAR_FUSION_v1.5	5	37	4	1	0.97	0.9	0.934
4	PRADA	5	33	0	5	0.87	1	0.93
5	STARSEQR	3	37	7	1	0.97	0.84	0.9
6	ARRIBA_hc	3	34	8	4	0.89	0.81	0.848
7	FUSIONCATCHER_v1.10_June192019	4	35	12	3	0.92	0.74	0.82
8	FUSIONCATCHER_v1.10_June192019	5	34	11	4	0.89	0.76	0.82
9	ARRIBA	5	34	17	4	0.89	0.67	0.764
10	FusionHunter	4	24	1	14	0.63	0.96	0.761
11	JAFFA-Hybrid	2	26	5	12	0.68	0.84	0.752
12	JAFFA-Assembly	2	26	5	12	0.68	0.84	0.752
13	STARCHIP_csm10_pGm2_May012019	3	24	4	14	0.63	0.86	0.727
14	TrinityFusion-UC	2	21	0	17	0.55	1	0.71
15	TrinityFusion-C	2	21	1	17	0.55	0.95	0.697
16	MapSplice	8	27	14	11	0.71	0.66	0.684
17	PIZZLY	9	25	11	13	0.66	0.69	0.675
18	InFusion	8	25	21	13	0.66	0.54	0.594
19	deFuse	7	27	30	11	0.71	0.47	0.566
20	TrinityFusion-D	4	15	1	23	0.39	0.94	0.551
21	nFuse	23	19	26	19	0.5	0.42	0.457
22	TopHat-Fusion	8	26	51	12	0.68	0.34	0.453
23	ChimeraScan	8	23	47	15	0.61	0.33	0.428
24	EricScript	16	20	40	18	0.53	0.33	0.407
