ARRIBA	0.78
PIZZLY	0.74
STARSEQR	0.73
STAR_FUSION_v1.5	0.73
ChimPipe	0.69
ChimeraScan	0.68
FUSIONCATCHER_v1.10_June192019	0.67
SOAP-fuse	0.67
PRADA	0.66
ARRIBA_hc	0.64
MapSplice	0.62
InFusion	0.59
TopHat-Fusion	0.57
EricScript	0.56
TrinityFusion-C	0.54
TrinityFusion-UC	0.51
JAFFA-Assembly	0.50
deFuse	0.42
TrinityFusion-D	0.36
STARCHIP_csm10_pGm2_May012019	0.15
FusionHunter	0.13
nFuse	0.02
ARRIBA	0.76
STARSEQR	0.76
ChimPipe	0.74
STAR_FUSION_v1.5	0.73
PIZZLY	0.72
ChimeraScan	0.70
SOAP-fuse	0.68
FUSIONCATCHER_v1.10_June192019	0.67
PRADA	0.67
InFusion	0.65
ARRIBA_hc	0.63
MapSplice	0.63
EricScript	0.59
TopHat-Fusion	0.56
TrinityFusion-C	0.54
TrinityFusion-UC	0.54
JAFFA-Assembly	0.46
deFuse	0.44
TrinityFusion-D	0.35
STARCHIP_csm10_pGm2_May012019	0.17
FusionHunter	0.15
nFuse	0.02
ARRIBA	0.78
STARSEQR	0.78
STAR_FUSION_v1.5	0.75
PIZZLY	0.72
ChimPipe	0.70
SOAP-fuse	0.69
FUSIONCATCHER_v1.10_June192019	0.67
ChimeraScan	0.64
PRADA	0.64
ARRIBA_hc	0.63
InFusion	0.63
MapSplice	0.63
EricScript	0.58
TopHat-Fusion	0.58
TrinityFusion-C	0.56
TrinityFusion-UC	0.56
JAFFA-Assembly	0.51
TrinityFusion-D	0.34
deFuse	0.33
STARCHIP_csm10_pGm2_May012019	0.18
FusionHunter	0.15
nFuse	0.02
ARRIBA	0.80
STARSEQR	0.75
PIZZLY	0.70
STAR_FUSION_v1.5	0.70
ChimPipe	0.69
PRADA	0.68
ChimeraScan	0.66
ARRIBA_hc	0.65
FUSIONCATCHER_v1.10_June192019	0.64
SOAP-fuse	0.64
MapSplice	0.63
InFusion	0.59
TopHat-Fusion	0.58
EricScript	0.57
TrinityFusion-C	0.52
TrinityFusion-UC	0.52
JAFFA-Assembly	0.44
deFuse	0.41
TrinityFusion-D	0.33
STARCHIP_csm10_pGm2_May012019	0.17
FusionHunter	0.15
nFuse	0.02
STARSEQR	0.78
ChimPipe	0.77
ARRIBA	0.76
ChimeraScan	0.74
PIZZLY	0.74
PRADA	0.74
SOAP-fuse	0.74
STAR_FUSION_v1.5	0.74
FUSIONCATCHER_v1.10_June192019	0.72
InFusion	0.69
MapSplice	0.66
ARRIBA_hc	0.62
EricScript	0.59
TopHat-Fusion	0.59
TrinityFusion-UC	0.55
JAFFA-Assembly	0.53
TrinityFusion-C	0.53
deFuse	0.50
TrinityFusion-D	0.38
FusionHunter	0.17
STARCHIP_csm10_pGm2_May012019	0.16
nFuse	0.02
