prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	851	270	1278	0.4	0.76	0.524
2	STARSEQR	1	818	341	1311	0.38	0.71	0.495
3	ARRIBA	1	856	608	1273	0.4	0.58	0.473
4	ARRIBA_hc	2	593	217	1536	0.28	0.73	0.405
5	TopHat-Fusion	3	600	807	1529	0.28	0.43	0.339
6	JAFFA-Direct	2	634	1059	1495	0.3	0.37	0.331
7	FUSIONCATCHER_v1.10_June192019	3	534	597	1595	0.25	0.47	0.326
8	JAFFA-Assembly	1	447	343	1682	0.21	0.57	0.307
9	STARCHIP_csm10_pGm2_May012019	3	394	100	1735	0.19	0.8	0.307
10	TrinityFusion-C	2	382	16	1747	0.18	0.96	0.303
11	InFusion	4	436	429	1693	0.2	0.5	0.286
12	PIZZLY	3	467	724	1662	0.22	0.39	0.281
13	ChimPipe	3	340	8	1789	0.16	0.98	0.275
14	JAFFA-Hybrid	2	683	2182	1446	0.32	0.24	0.274
15	TrinityFusion-UC	2	349	34	1780	0.16	0.91	0.272
16	MapSplice	3	358	283	1771	0.17	0.56	0.261
17	SOAP-fuse	2	314	134	1815	0.15	0.7	0.247
18	deFuse	6	481	1792	1648	0.23	0.21	0.22
19	deFuse	9	468	1693	1661	0.22	0.22	0.22
20	TrinityFusion-D	2	249	24	1880	0.12	0.91	0.212
21	nFuse	9	445	2085	1684	0.21	0.18	0.194
22	PRADA	3	213	21	1916	0.1	0.91	0.18
23	ChimeraScan	4	394	2087	1735	0.19	0.16	0.174
24	EricScript	16	250	2114	1879	0.12	0.11	0.115
25	FusionHunter	3	100	58	2029	0.05	0.63	0.093
26	FusionHunter	4	99	56	2030	0.05	0.64	0.093
27	FusionHunter	5	97	56	2032	0.05	0.63	0.093
