prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	851	270	1278	0.4	0.76	0.524	0.24
STARSEQR	1	818	341	1311	0.38	0.71	0.495	0.29
ARRIBA	1	856	608	1273	0.4	0.58	0.473	0.42
ARRIBA_hc	2	593	217	1536	0.28	0.73	0.405	0.27
TopHat-Fusion	3	600	807	1529	0.28	0.43	0.339	0.57
JAFFA-Direct	2	634	1059	1495	0.3	0.37	0.331	0.63
FUSIONCATCHER_v1.10_June192019	3	534	597	1595	0.25	0.47	0.326	0.53
STARCHIP_csm10_pGm2_May012019	3	394	100	1735	0.19	0.8	0.307	0.2
JAFFA-Assembly	1	447	343	1682	0.21	0.57	0.307	0.43
TrinityFusion-C	2	382	16	1747	0.18	0.96	0.303	0.04
InFusion	4	436	429	1693	0.2	0.5	0.286	0.5
PIZZLY	3	467	724	1662	0.22	0.39	0.281	0.61
ChimPipe	3	340	8	1789	0.16	0.98	0.275	0.02
JAFFA-Hybrid	2	683	2182	1446	0.32	0.24	0.274	0.76
TrinityFusion-UC	2	349	34	1780	0.16	0.91	0.272	0.09
MapSplice	3	358	283	1771	0.17	0.56	0.261	0.44
SOAP-fuse	2	314	134	1815	0.15	0.7	0.247	0.3
deFuse	9	468	1693	1661	0.22	0.22	0.22	0.78
TrinityFusion-D	2	249	24	1880	0.12	0.91	0.212	0.09
nFuse	9	445	2085	1684	0.21	0.18	0.194	0.82
PRADA	3	213	21	1916	0.1	0.91	0.18	0.09
ChimeraScan	4	394	2087	1735	0.19	0.16	0.174	0.84
EricScript	16	250	2114	1879	0.12	0.11	0.115	0.89
FusionHunter	5	97	56	2032	0.05	0.63	0.093	0.37
