prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	5	336	66	61	0.85	0.84	0.845
2	TrinityFusion-C	2	261	16	136	0.66	0.94	0.775
3	ARRIBA_hc	4	315	106	82	0.79	0.75	0.769
4	ChimPipe	3	242	8	155	0.61	0.97	0.749
5	TrinityFusion-UC	2	245	34	152	0.62	0.88	0.727
6	ARRIBA	5	325	173	72	0.82	0.65	0.725
7	STARSEQR	3	344	246	53	0.87	0.58	0.696
8	SOAP-fuse	6	240	58	157	0.6	0.81	0.689
9	TrinityFusion-D	2	202	24	195	0.51	0.89	0.648
10	MapSplice	5	277	226	120	0.7	0.55	0.616
11	PRADA	3	184	21	213	0.46	0.9	0.609
12	STARCHIP_csm10_pGm2_May012019	4	204	82	193	0.51	0.71	0.594
13	InFusion	7	265	237	132	0.67	0.53	0.592
14	FUSIONCATCHER_v1.10_June192019	8	286	289	111	0.72	0.5	0.59
15	FUSIONCATCHER_v1.10_June192019	9	276	260	121	0.7	0.51	0.59
16	TopHat-Fusion	6	280	339	117	0.71	0.45	0.551
17	JAFFA-Assembly	4	249	284	148	0.63	0.47	0.538
18	PIZZLY	5	229	303	168	0.58	0.43	0.494
19	JAFFA-Direct	4	308	585	89	0.78	0.34	0.474
20	FusionHunter	3	93	58	304	0.23	0.62	0.336
21	FusionHunter	5	92	56	305	0.23	0.62	0.336
22	FusionHunter	6	90	55	307	0.23	0.62	0.336
23	JAFFA-Hybrid	9	241	988	156	0.61	0.2	0.301
24	ChimeraScan	9	137	437	260	0.35	0.24	0.285
25	deFuse	19	193	966	204	0.49	0.17	0.252
26	nFuse	14	208	1328	189	0.52	0.14	0.221
27	nFuse	19	168	978	229	0.42	0.15	0.221
28	EricScript	16	198	2114	199	0.5	0.09	0.153
