prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	5	336	66	61	0.85	0.84	0.845	0.16
TrinityFusion-C	2	261	16	136	0.66	0.94	0.775	0.0600000000000001
ARRIBA_hc	4	315	106	82	0.79	0.75	0.769	0.25
ChimPipe	3	242	8	155	0.61	0.97	0.749	0.03
TrinityFusion-UC	2	245	34	152	0.62	0.88	0.727	0.12
ARRIBA	5	325	173	72	0.82	0.65	0.725	0.35
STARSEQR	3	344	246	53	0.87	0.58	0.696	0.42
SOAP-fuse	6	240	58	157	0.6	0.81	0.689	0.19
TrinityFusion-D	2	202	24	195	0.51	0.89	0.648	0.11
MapSplice	5	277	226	120	0.7	0.55	0.616	0.45
PRADA	3	184	21	213	0.46	0.9	0.609	0.1
STARCHIP_csm10_pGm2_May012019	4	204	82	193	0.51	0.71	0.594	0.29
InFusion	7	265	237	132	0.67	0.53	0.592	0.47
FUSIONCATCHER_v1.10_June192019	9	276	260	121	0.7	0.51	0.59	0.49
TopHat-Fusion	6	280	339	117	0.71	0.45	0.551	0.55
JAFFA-Assembly	4	249	284	148	0.63	0.47	0.538	0.53
PIZZLY	5	229	303	168	0.58	0.43	0.494	0.57
JAFFA-Direct	4	308	585	89	0.78	0.34	0.474	0.66
FusionHunter	6	90	55	307	0.23	0.62	0.336	0.38
JAFFA-Hybrid	9	241	988	156	0.61	0.2	0.301	0.8
ChimeraScan	9	137	437	260	0.35	0.24	0.285	0.76
deFuse	19	193	966	204	0.49	0.17	0.252	0.83
nFuse	19	168	978	229	0.42	0.15	0.221	0.85
EricScript	16	198	2114	199	0.5	0.09	0.153	0.91
