prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	5	333	165	64	0.84	0.67	0.745
2	TrinityFusion-C	3	240	48	157	0.6	0.83	0.697
3	TrinityFusion-UC	3	228	44	169	0.57	0.84	0.679
4	ChimPipe	3	241	113	156	0.61	0.68	0.643
5	SOAP-fuse	6	235	102	162	0.59	0.7	0.64
6	TrinityFusion-D	3	188	43	209	0.47	0.81	0.595
7	MapSplice	6	265	232	132	0.67	0.53	0.592
8	PRADA	3	184	56	213	0.46	0.77	0.576
9	ARRIBA_hc	5	289	322	108	0.73	0.47	0.572
10	FUSIONCATCHER_v1.10_June192019	9	272	347	125	0.69	0.44	0.537
11	InFusion	7	264	342	133	0.66	0.44	0.528
12	ARRIBA	5	320	526	77	0.81	0.38	0.517
13	ARRIBA	6	291	437	106	0.73	0.4	0.517
14	STARSEQR	5	306	530	91	0.77	0.37	0.5
15	JAFFA-Assembly	8	214	274	183	0.54	0.44	0.485
16	TopHat-Fusion	7	261	465	136	0.66	0.36	0.466
17	JAFFA-Direct	6	251	495	146	0.63	0.34	0.442
18	STARCHIP_csm10_pGm2_May012019	4	203	332	194	0.51	0.38	0.436
19	PIZZLY	5	227	569	170	0.57	0.29	0.384
20	FusionHunter	3	94	68	303	0.24	0.58	0.34
21	JAFFA-Hybrid	9	242	1055	155	0.61	0.19	0.29
22	ChimeraScan	20	80	133	317	0.2	0.38	0.262
23	deFuse	19	193	1204	204	0.49	0.14	0.218
24	nFuse	24	140	891	257	0.35	0.14	0.2
25	EricScript	19	177	1901	220	0.45	0.09	0.15
