prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	5	353	157	81	0.81	0.69	0.745
2	TrinityFusion-C	3	256	40	178	0.59	0.86	0.7
3	TrinityFusion-UC	3	241	40	193	0.56	0.86	0.678
4	ChimPipe	3	256	99	178	0.59	0.72	0.649
5	SOAP-fuse	6	246	101	188	0.57	0.71	0.632
6	TrinityFusion-D	3	198	38	236	0.46	0.84	0.594
7	ARRIBA_hc	5	306	315	128	0.71	0.49	0.58
8	MapSplice	5	284	259	150	0.65	0.52	0.578
9	PRADA	3	188	52	246	0.43	0.78	0.554
10	FUSIONCATCHER_v1.10_June192019	9	288	339	146	0.66	0.46	0.542
11	ARRIBA	5	344	512	90	0.79	0.4	0.531
12	ARRIBA	6	313	425	121	0.72	0.42	0.531
13	InFusion	7	274	335	160	0.63	0.45	0.525
14	STARSEQR	3	365	644	69	0.84	0.36	0.504
15	JAFFA-Assembly	7	232	300	202	0.53	0.44	0.481
16	TopHat-Fusion	7	271	466	163	0.62	0.37	0.463
17	STARCHIP_csm10_pGm2_May012019	4	215	323	219	0.5	0.4	0.444
18	JAFFA-Direct	5	280	566	154	0.65	0.33	0.438
19	PIZZLY	5	235	564	199	0.54	0.29	0.377
20	FusionHunter	3	94	68	340	0.22	0.58	0.319
21	JAFFA-Hybrid	9	249	1050	185	0.57	0.19	0.285
22	ChimeraScan	8	158	689	276	0.36	0.19	0.249
23	deFuse	22	176	1036	258	0.41	0.15	0.22
24	nFuse	15	210	1445	224	0.48	0.13	0.205
25	EricScript	19	177	1901	257	0.41	0.09	0.148
