prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	5	350	149	84	0.81	0.7	0.751	0.3
TrinityFusion-C	3	249	39	185	0.57	0.86	0.686	0.14
TrinityFusion-UC	3	237	35	197	0.55	0.87	0.674	0.13
ChimPipe	3	255	99	179	0.59	0.72	0.649	0.28
SOAP-fuse	6	240	97	194	0.55	0.71	0.62	0.29
TrinityFusion-D	3	194	37	240	0.45	0.84	0.586	0.16
MapSplice	4	294	288	140	0.68	0.51	0.583	0.49
ARRIBA_hc	5	300	312	134	0.69	0.49	0.573	0.51
PRADA	3	188	52	246	0.43	0.78	0.554	0.22
FUSIONCATCHER_v1.10_June192019	9	285	335	149	0.66	0.46	0.542	0.54
ARRIBA	5	338	509	96	0.78	0.4	0.529	0.6
InFusion	7	273	334	161	0.63	0.45	0.525	0.55
STARSEQR	4	348	604	86	0.8	0.37	0.506	0.63
JAFFA-Assembly	7	231	300	203	0.53	0.44	0.481	0.56
TopHat-Fusion	7	270	455	164	0.62	0.37	0.463	0.63
JAFFA-Direct	6	260	486	174	0.6	0.35	0.442	0.65
STARCHIP_csm10_pGm2_May012019	4	214	322	220	0.49	0.4	0.44	0.6
PIZZLY	5	232	564	202	0.53	0.29	0.375	0.71
FusionHunter	5	94	62	340	0.22	0.6	0.322	0.4
JAFFA-Hybrid	9	250	1048	184	0.58	0.19	0.286	0.81
ChimeraScan	9	140	542	294	0.32	0.21	0.254	0.79
deFuse	22	176	1034	258	0.41	0.15	0.22	0.85
nFuse	15	209	1444	225	0.48	0.13	0.205	0.87
EricScript	19	179	1899	255	0.41	0.09	0.148	0.91
