prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	5	353	157	81	0.81	0.69	0.745	0.31
TrinityFusion-C	3	256	40	178	0.59	0.86	0.7	0.14
TrinityFusion-UC	3	241	40	193	0.56	0.86	0.678	0.14
ChimPipe	3	256	99	178	0.59	0.72	0.649	0.28
SOAP-fuse	6	246	101	188	0.57	0.71	0.632	0.29
TrinityFusion-D	3	198	38	236	0.46	0.84	0.594	0.16
ARRIBA_hc	5	306	315	128	0.71	0.49	0.58	0.51
MapSplice	5	284	259	150	0.65	0.52	0.578	0.48
PRADA	3	188	52	246	0.43	0.78	0.554	0.22
FUSIONCATCHER_v1.10_June192019	9	288	339	146	0.66	0.46	0.542	0.54
ARRIBA	6	313	425	121	0.72	0.42	0.531	0.58
InFusion	7	274	335	160	0.63	0.45	0.525	0.55
STARSEQR	3	365	644	69	0.84	0.36	0.504	0.64
JAFFA-Assembly	7	232	300	202	0.53	0.44	0.481	0.56
TopHat-Fusion	7	271	466	163	0.62	0.37	0.463	0.63
STARCHIP_csm10_pGm2_May012019	4	215	323	219	0.5	0.4	0.444	0.6
JAFFA-Direct	5	280	566	154	0.65	0.33	0.438	0.67
PIZZLY	5	235	564	199	0.54	0.29	0.377	0.71
FusionHunter	3	94	68	340	0.22	0.58	0.319	0.42
JAFFA-Hybrid	9	249	1050	185	0.57	0.19	0.285	0.81
ChimeraScan	8	158	689	276	0.36	0.19	0.249	0.81
deFuse	22	176	1036	258	0.41	0.15	0.22	0.85
nFuse	15	210	1445	224	0.48	0.13	0.205	0.87
EricScript	19	177	1901	257	0.41	0.09	0.148	0.91
